Namespace(dataset='AECHO1_2020', feat='stats', gs='False', header='True', model='OCSVM(rbf)', time='2021-04-09 10:12:23')
***AECHO1_2020, OCSVM(rbf), stats, speedup/data/models/src_dst/stats-header_True/AECHO1_2020/before_proj_False-gs_False/OCSVM(rbf)-std_False_center_False-d_5-None
***0_th repeat
Total test time: 0.5205060199368745 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.401687040925026e-05, model_test_time: 0.5204920030664653
Total test time: 0.5208281620871276 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.413002610206604e-05, model_test_time: 0.5208140320610255
Total test time: 0.5082991649396718 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0760035365819931e-05, model_test_time: 0.5082884049043059
Total test time: 0.5059258178807795 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0833842679858208e-05, model_test_time: 0.5059149840380996
Total test time: 0.5342604878824204 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0536983609199524e-05, model_test_time: 0.5342499508988112
Total test time: 0.4754017216619104 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0684831067919731e-05, model_test_time: 0.4753910368308425
Total test time: 0.5445936168543994 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.06107909232378e-05, model_test_time: 0.5445830060634762
Total test time: 0.44513291609473526 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0612187907099724e-05, model_test_time: 0.44512230390682817
Total test time: 0.4727474187966436 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0591931641101837e-05, model_test_time: 0.4727368268650025
Total test time: 0.5058405068702996 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.133396290242672e-05, model_test_time: 0.5058291729073972
Total test time: 0.5053392229601741 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0758871212601662e-05, model_test_time: 0.5053284640889615
Total test time: 0.542348301736638 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0943040251731873e-05, model_test_time: 0.5423373586963862
Total test time: 0.47372389561496675 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0499963536858559e-05, model_test_time: 0.4737133956514299
Total test time: 0.5334444011095911 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0500894859433174e-05, model_test_time: 0.5334339002147317
Total test time: 0.5207498336676508 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0500429198145866e-05, model_test_time: 0.5207393332384527
Total test time: 0.4522646248806268 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.4647841453552246e-05, model_test_time: 0.45224997703917325
Total test time: 0.5105841842014343 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.079612411558628e-05, model_test_time: 0.5105733880773187
Total test time: 0.49376753624528646 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.4833174645900726e-05, model_test_time: 0.49375270307064056
***3_th repeat
Total test time: 0.4848389478866011 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.5462981536984444e-05, model_test_time: 0.4848234849050641
Total test time: 0.5189635450951755 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.1018011718988419e-05, model_test_time: 0.5189525270834565
Total test time: 0.4951908718794584 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.5093013644218445e-05, model_test_time: 0.4951757788658142
Total test time: 0.4808199948165566 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.4425953850150108e-05, model_test_time: 0.4808055688627064
Total test time: 0.47813754505477846 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0609859600663185e-05, model_test_time: 0.4781269351951778
Total test time: 0.5212567667476833 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.4091841876506805e-05, model_test_time: 0.5212426749058068
Total test time: 0.4815888456068933 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0813819244503975e-05, model_test_time: 0.4815780317876488
Total test time: 0.4544284779112786 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.4980090782046318e-05, model_test_time: 0.45441349782049656
Total test time: 0.5059518401976675 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0035932064056396e-05, model_test_time: 0.5059418042656034
Total test time: 0.5100598470307887 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0980991646647453e-05, model_test_time: 0.510048866039142
Total test time: 0.5226370855234563 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.5315832570195198e-05, model_test_time: 0.5226217696908861
Total test time: 0.4731265639420599 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.1369818821549416e-05, model_test_time: 0.4731151941232383
Total test time: 0.4254153317306191 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0352814570069313e-05, model_test_time: 0.425404978916049
Total test time: 0.5418375860899687 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.4554942026734352e-05, model_test_time: 0.541823031147942
Total test time: 0.4954133899882436 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.5296973288059235e-05, model_test_time: 0.4953980930149555
Total test time: 0.5055842858273536 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0556075721979141e-05, model_test_time: 0.5055737297516316
Total test time: 0.5064060441218317 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.1258991435170174e-05, model_test_time: 0.5063947851303965
Total test time: 0.441612770780921 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.1276686564087868e-05, model_test_time: 0.4416014940943569
Total test time: 0.5320389890111983 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.040613278746605e-05, model_test_time: 0.5320285828784108
Total test time: 0.4960698331706226 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.557287760078907e-05, model_test_time: 0.4960542602930218
***4_th repeat
Total test time: 0.5429161293432117 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.516728661954403e-05, model_test_time: 0.5429009620565921
Total test time: 0.54171032179147 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.4203833416104317e-05, model_test_time: 0.541696117958054
Total test time: 0.4736954371910542 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0961899533867836e-05, model_test_time: 0.47368447529152036
Total test time: 0.5008391458541155 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0276911780238152e-05, model_test_time: 0.5008288689423352
Total test time: 0.47480270615778863 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.4963094145059586e-05, model_test_time: 0.4747877430636436
Total test time: 0.5334681747481227 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0963762179017067e-05, model_test_time: 0.5334572109859437
Total test time: 0.50823371601291 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.113000325858593e-05, model_test_time: 0.5082225860096514
Total test time: 0.4951645319815725 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.5184981748461723e-05, model_test_time: 0.49514934699982405
Total test time: 0.512282044859603 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.049879938364029e-05, model_test_time: 0.5122715460602194
Total test time: 0.48877871595323086 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.5351921319961548e-05, model_test_time: 0.4887633640319109
Total test time: 0.5050433974247426 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0371208190917969e-05, model_test_time: 0.5050330262165517
Total test time: 0.5063045870047063 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0424992069602013e-05, model_test_time: 0.5062941620126367
Total test time: 0.476506827166304 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0629184544086456e-05, model_test_time: 0.4764961979817599
Total test time: 0.5420487259980291 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.5035970136523247e-05, model_test_time: 0.5420336900278926
Total test time: 0.47991126705892384 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.3871118426322937e-05, model_test_time: 0.4798973959404975
Total test time: 0.4880196889862418 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0296003893017769e-05, model_test_time: 0.4880093929823488
Total test time: 0.5413043911103159 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.4797085896134377e-05, model_test_time: 0.5412895940244198
Total test time: 0.5042518707923591 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.4999648556113243e-05, model_test_time: 0.504236871143803
Total test time: 0.5087599707767367 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0240823030471802e-05, model_test_time: 0.5087497299537063
Total test time: 0.49592279992066324 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.4647841453552246e-05, model_test_time: 0.4959081520792097
speedup/out/models_res/src_dst/stats-header_True/AECHO1_2020/before_proj_False-gs_False/OCSVM(rbf)-std_False_center_False-d_5-None/AECHO1_2020-OCSVM(rbf).dat
