Namespace(dataset='CTU1', feat='iat_size', gs='False', header='False', model='OCSVM(rbf)', time='2021-04-09 08:46:31')
***CTU1, OCSVM(rbf), iat_size, speedup/data/models/src_dst/iat_size-header_False/CTU1/before_proj_False-gs_False/OCSVM(rbf)-std_False_center_False-d_5-None
***0_th repeat
Total test time: 0.44457611395046115 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.3147015124559402e-05, model_test_time: 0.4445629669353366
Total test time: 0.5335064691025764 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.39621552079916e-05, model_test_time: 0.5334925069473684
Total test time: 0.4902651999145746 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.3350974768400192e-05, model_test_time: 0.4902518489398062
Total test time: 0.4514525418635458 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.3055745512247086e-05, model_test_time: 0.45143948611803353
Total test time: 0.4860303110908717 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.833136573433876e-06, model_test_time: 0.48602047795429826
Total test time: 0.4960240761283785 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.3961922377347946e-05, model_test_time: 0.49601011420600116
Total test time: 0.4854834172874689 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.3407319784164429e-05, model_test_time: 0.48547000996768475
Total test time: 0.4453094722703099 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.3889046385884285e-05, model_test_time: 0.44529558322392404
Total test time: 0.4903692570514977 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.4519086107611656e-05, model_test_time: 0.4903547379653901
Total test time: 0.49058202910237014 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.4667166396975517e-05, model_test_time: 0.49056736193597317
Total test time: 0.4915353413671255 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.3166340067982674e-05, model_test_time: 0.49152217502705753
Total test time: 0.4655492922756821 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.368415541946888e-05, model_test_time: 0.4655356081202626
Total test time: 0.5010468941181898 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0407064110040665e-05, model_test_time: 0.5010364870540798
Total test time: 0.48400865169242024 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.869690984487534e-06, model_test_time: 0.48399878200143576
Total test time: 0.48497957619838417 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.5259254723787308e-05, model_test_time: 0.4849643169436604
Total test time: 0.4876601477153599 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.4683697372674942e-05, model_test_time: 0.48764546401798725
