Namespace(dataset='AECHO1_2020', feat='stats', gs='True', header='True', model='OCSVM(rbf)', time='2021-04-09 10:07:32')
***AECHO1_2020, OCSVM(rbf), stats, speedup/data/models/src_dst/stats-header_True/AECHO1_2020/before_proj_False-gs_True/OCSVM(rbf)-std_False_center_False-d_5-None
***0_th repeat
Total test time: 0.527062073815614 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.5091849491000175e-05, model_test_time: 0.527046981966123
Total test time: 0.4865346527658403 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0277843102812767e-05, model_test_time: 0.4865243749227375
Total test time: 0.5364807578735054 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.5795929357409477e-05, model_test_time: 0.5364649619441479
Total test time: 0.44668671302497387 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.4277873560786247e-05, model_test_time: 0.4466724351514131
Total test time: 0.5565241519361734 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.4889054000377655e-05, model_test_time: 0.5565092628821731
Total test time: 0.49701155186630785 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.3981014490127563e-05, model_test_time: 0.4969975708518177
Total test time: 0.5364898887928575 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.585204154253006e-05, model_test_time: 0.536474036751315
Total test time: 0.537750338902697 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.5257857739925385e-05, model_test_time: 0.537735081044957
Total test time: 0.4449326675385237 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.4370307326316833e-05, model_test_time: 0.44491829723119736
Total test time: 0.5083062439225614 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0647112503647804e-05, model_test_time: 0.5082955968100578
Total test time: 0.4552295161411166 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.3945158571004868e-05, model_test_time: 0.4552155709825456
Total test time: 0.5321580595336854 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.077866181731224e-05, model_test_time: 0.5321472808718681
Total test time: 0.4865059722214937 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.4685094356536865e-05, model_test_time: 0.4864912871271372
Total test time: 0.4958158067893237 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.3609882444143295e-05, model_test_time: 0.49580219690687954
Total test time: 0.48861290025524795 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.4611054211854935e-05, model_test_time: 0.4885982892010361
Total test time: 0.49315083865076303 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.52587890625e-05, model_test_time: 0.49313557986170053
Total test time: 0.5232415478676558 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.4147022739052773e-05, model_test_time: 0.5232274008449167
Total test time: 0.4773551148828119 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.1036871001124382e-05, model_test_time: 0.4773440780118108
***3_th repeat
Total test time: 0.5380968328099698 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.4313962310552597e-05, model_test_time: 0.5380825188476592
Total test time: 0.5393665975425392 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.4998717233538628e-05, model_test_time: 0.5393515988253057
Total test time: 0.5197767680510879 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.457403413951397e-05, model_test_time: 0.5197621940169483
Total test time: 0.5212179913651198 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0111136361956596e-05, model_test_time: 0.5212078802287579
Total test time: 0.5366354659199715 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.398078165948391e-05, model_test_time: 0.536621485138312
