Namespace(dataset='SFRIG1_2020', feat='iat_size', gs='False', header='False', model='KJL-OCSVM(linear)', time='2021-04-09 09:45:21')
***SFRIG1_2020, KJL-OCSVM(linear), iat_size, speedup/data/models/src_dst/iat_size-header_False/SFRIG1_2020/before_proj_False-gs_False/KJL-OCSVM(linear)-std_False_center_False-d_5-None
***0_th repeat
Total test time: 0.06470616906881332 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.03339057508856058, model_test_time: 0.03131559398025274
Total test time: 0.04588816873729229 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012415817938745022, model_test_time: 0.03347235079854727
Total test time: 0.04418313782662153 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012369449948891997, model_test_time: 0.031813687877729535
Total test time: 0.043634102679789066 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012318896828219295, model_test_time: 0.03131520585156977
Total test time: 0.04385451995767653 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012388227041810751, model_test_time: 0.03146629291586578
Total test time: 0.04691115394234657 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012349469121545553, model_test_time: 0.03456168482080102
Total test time: 0.05412302794866264 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01717287302017212, model_test_time: 0.03695015492849052
Total test time: 0.04376619006507099 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012371283024549484, model_test_time: 0.0313949070405215
Total test time: 0.044052124954760075 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012438263045623899, model_test_time: 0.031613861909136176
Total test time: 0.054286652244627476 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017246168106794357, model_test_time: 0.03704048413783312
Total test time: 0.054134879261255264 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017235241131857038, model_test_time: 0.03689963812939823
Total test time: 0.0545022189617157 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017215111991390586, model_test_time: 0.03728710697032511
Total test time: 0.043640249874442816 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012340080924332142, model_test_time: 0.031300168950110674
Total test time: 0.044424444902688265 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012420892948284745, model_test_time: 0.03200355195440352
Total test time: 0.0538842398673296 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017218796769157052, model_test_time: 0.036665443098172545
Total test time: 0.04879582719877362 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01727772201411426, model_test_time: 0.03151810518465936
Total test time: 0.043566105887293816 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012350080767646432, model_test_time: 0.031216025119647384
Total test time: 0.05040619755163789 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013214865932241082, model_test_time: 0.037191331619396806
Total test time: 0.054497034288942814 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017184799071401358, model_test_time: 0.037312235217541456
Total test time: 0.06219726172275841 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01728842593729496, model_test_time: 0.04490883578546345
***1_th repeat
Total test time: 0.045113330241292715 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01361246407032013, model_test_time: 0.031500866170972586
Total test time: 0.04366917675361037 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012348173884674907, model_test_time: 0.031321002868935466
Total test time: 0.05383902206085622 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01724042813293636, model_test_time: 0.036598593927919865
Total test time: 0.05380768864415586 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017340163700282574, model_test_time: 0.036467524943873286
Total test time: 0.05401692329905927 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017272704280912876, model_test_time: 0.036744219018146396
