Namespace(dataset='MACCDC1', feat='iat_size', gs='True', header='False', model='KJL-GMM(full)', time='2021-04-09 09:20:04')
***MACCDC1, KJL-GMM(full), iat_size, speedup/data/models/src_dst/iat_size-header_False/MACCDC1/before_proj_False-gs_True/KJL-GMM(full)-std_False_center_False-d_5-full
***0_th repeat
Total test time: 0.02264503249898553 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014406949747353792, model_test_time: 0.008238082751631737
Total test time: 0.01909436983987689 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011019616620615125, model_test_time: 0.008074753219261765
Total test time: 0.01897244481369853 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.010914191836491227, model_test_time: 0.008058252977207303
Total test time: 0.018937113927677274 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01092611812055111, model_test_time: 0.008010995807126164
Total test time: 0.019049294758588076 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.010970819741487503, model_test_time: 0.008078475017100573
Total test time: 0.01901509426534176 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.010913008125498891, model_test_time: 0.008102086139842868
Total test time: 0.018957371124997735 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.010885211173444986, model_test_time: 0.008072159951552749
Total test time: 0.026858070865273476 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01508239796385169, model_test_time: 0.011775672901421785
Total test time: 0.026908458909019828 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015091805951669812, model_test_time: 0.011816652957350016
Total test time: 0.02691353391855955 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015036769909784198, model_test_time: 0.011876764008775353
Total test time: 0.027018273947760463 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015196711989119649, model_test_time: 0.011821561958640814
Total test time: 0.026963311713188887 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015088287880644202, model_test_time: 0.011875023832544684
Total test time: 0.026925237849354744 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01509438082575798, model_test_time: 0.011830857023596764
Total test time: 0.02424846333451569 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015102584147825837, model_test_time: 0.009145879186689854
Total test time: 0.018975481623783708 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.010920468717813492, model_test_time: 0.008055012905970216
Total test time: 0.018935743952170014 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.010865563759580255, model_test_time: 0.00807018019258976
Total test time: 0.019006390124559402 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.010943098925054073, model_test_time: 0.008063291199505329
Total test time: 0.04334733006544411 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.030817562015727162, model_test_time: 0.01252976804971695
Total test time: 0.025188163621351123 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015093416906893253, model_test_time: 0.01009474671445787
Total test time: 0.018977407133206725 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0109085061121732, model_test_time: 0.008068901021033525
***1_th repeat
Total test time: 0.016908898018300533 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01212181500159204, model_test_time: 0.004787083016708493
Total test time: 0.017078059958294034 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01233003195375204, model_test_time: 0.004748028004541993
Total test time: 0.024182870984077454 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017223168164491653, model_test_time: 0.0069597028195858
Total test time: 0.024175481870770454 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017204724019393325, model_test_time: 0.0069707578513771296
Total test time: 0.01906394283287227 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01432726695202291, model_test_time: 0.004736675880849361
Total test time: 0.01705108000896871 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012327587930485606, model_test_time: 0.004723492078483105
Total test time: 0.017055782955139875 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012332180049270391, model_test_time: 0.004723602905869484
Total test time: 0.018360162852331996 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012386067770421505, model_test_time: 0.005974095081910491
Total test time: 0.024057558039203286 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017088022083044052, model_test_time: 0.006969535956159234
Total test time: 0.024169444106519222 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01715618814341724, model_test_time: 0.007013255963101983
Total test time: 0.024208314018324018 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01727203605696559, model_test_time: 0.006936277961358428
Total test time: 0.024044354911893606 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017137262038886547, model_test_time: 0.006907092873007059
Total test time: 0.024222259176895022 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01719892700202763, model_test_time: 0.007023332174867392
Total test time: 0.024084760807454586 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017129354877397418, model_test_time: 0.006955405930057168
Total test time: 0.02408885397017002 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0171743908431381, model_test_time: 0.006914463127031922
Total test time: 0.024257963290438056 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01724331616424024, model_test_time: 0.007014647126197815
Total test time: 0.024162611225619912 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017180632101371884, model_test_time: 0.006981979124248028
Total test time: 0.024121298221871257 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017175595043227077, model_test_time: 0.00694570317864418
Total test time: 0.02409857721067965 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01717852125875652, model_test_time: 0.006920055951923132
Total test time: 0.024202296044677496 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.017199224093928933, model_test_time: 0.007003071950748563
***2_th repeat
Total test time: 0.027380837593227625 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015530573669821024, model_test_time: 0.011850263923406601
Total test time: 0.02654757909476757 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015106268925592303, model_test_time: 0.011441310169175267
Total test time: 0.018910335609689355 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.010908321710303426, model_test_time: 0.008002013899385929
Total test time: 0.01903825788758695 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.010932820849120617, model_test_time: 0.008105437038466334
Total test time: 0.019054405158385634 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0109698751475662, model_test_time: 0.008084530010819435
Total test time: 0.026911811204627156 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015104194171726704, model_test_time: 0.011807617032900453
Total test time: 0.02694003307260573 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015097082825377584, model_test_time: 0.011842950247228146
Total test time: 0.01992514729499817 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011915929149836302, model_test_time: 0.008009218145161867
Total test time: 0.01895900280214846 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.010915488936007023, model_test_time: 0.008043513866141438
Total test time: 0.019038422731682658 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.010942485881969333, model_test_time: 0.008095936849713326
Total test time: 0.023560771718621254 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011712395818904042, model_test_time: 0.011848375899717212
Total test time: 0.026977292262017727 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015190582256764174, model_test_time: 0.011786710005253553
Total test time: 0.024315054062753916 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015135786961764097, model_test_time: 0.009179267100989819
Total test time: 0.01909933192655444 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01103955996222794, model_test_time: 0.008059771964326501
Total test time: 0.01902698096819222 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.010966080008074641, model_test_time: 0.008060900960117579
Total test time: 0.019034443888813257 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.010973893804475665, model_test_time: 0.008060550084337592
Total test time: 0.053146268939599395 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.04090099409222603, model_test_time: 0.012245274847373366
Total test time: 0.02677090815268457 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015020770253613591, model_test_time: 0.011750137899070978
Total test time: 0.026878794189542532 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015050640096887946, model_test_time: 0.011828154092654586
Total test time: 0.02677623904310167 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015025306958705187, model_test_time: 0.011750932084396482
***3_th repeat
Total test time: 0.021035642130300403 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016069080913439393, model_test_time: 0.00496656121686101
Total test time: 0.02099804999306798 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016032915096729994, model_test_time: 0.004965134896337986
Total test time: 0.02106929011642933 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016101100016385317, model_test_time: 0.004968190100044012
Total test time: 0.021109619876369834 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016154485987499356, model_test_time: 0.004955133888870478
Total test time: 0.02108477195724845 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016128877876326442, model_test_time: 0.0049558940809220076
Total test time: 0.021036939695477486 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016082120360806584, model_test_time: 0.004954819334670901
Total test time: 0.02104354929178953 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01608367427252233, model_test_time: 0.004959875019267201
Total test time: 0.021194749977439642 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01622274494729936, model_test_time: 0.004972005030140281
Total test time: 0.021084363106638193 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016118617029860616, model_test_time: 0.004965746076777577
Total test time: 0.02119122981093824 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01621755864471197, model_test_time: 0.004973671166226268
Total test time: 0.02108827023766935 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01611967314966023, model_test_time: 0.004968597088009119
Total test time: 0.021120860939845443 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016150559997186065, model_test_time: 0.004970300942659378
Total test time: 0.017378515098243952 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013876202050596476, model_test_time: 0.003502313047647476
Total test time: 0.015063842991366982 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011645694030448794, model_test_time: 0.003418148960918188
Total test time: 0.0151880809571594 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011781377019360662, model_test_time: 0.0034067039377987385
Total test time: 0.015099009964615107 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01169810094870627, model_test_time: 0.0034009090159088373
Total test time: 0.021268896060064435 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01618504198268056, model_test_time: 0.005083854077383876
Total test time: 0.021195915760472417 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016146931797266006, model_test_time: 0.00504898396320641
Total test time: 0.021215341286733747 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01618389436043799, model_test_time: 0.005031446926295757
Total test time: 0.021314857061952353 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016257984098047018, model_test_time: 0.0050568729639053345
***4_th repeat
Total test time: 0.02982195420190692 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016122358152642846, model_test_time: 0.013699596049264073
Total test time: 0.02956921700388193 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015851567033678293, model_test_time: 0.013717649970203638
Total test time: 0.02946735080331564 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015812475932762027, model_test_time: 0.013654874870553613
Total test time: 0.02939131297171116 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015720885014161468, model_test_time: 0.013670427957549691
Total test time: 0.02943216497078538 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015746384859085083, model_test_time: 0.013685780111700296
Total test time: 0.029445404885336757 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01574660581536591, model_test_time: 0.013698799069970846
Total test time: 0.029446981148794293 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01577382883988321, model_test_time: 0.013673152308911085
Total test time: 0.029491959838196635 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01574540277943015, model_test_time: 0.013746557058766484
Total test time: 0.029486460145562887 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015812512021511793, model_test_time: 0.013673948124051094
Total test time: 0.02941224235109985 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015769312158226967, model_test_time: 0.013642930192872882
Total test time: 0.029418794671073556 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015755291795358062, model_test_time: 0.013663502875715494
Total test time: 0.029475757153704762 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01570914499461651, model_test_time: 0.013766612159088254
Total test time: 0.03959991130977869 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.02593866642564535, model_test_time: 0.013661244884133339
Total test time: 0.029374425299465656 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015709718223661184, model_test_time: 0.013664707075804472
Total test time: 0.02947353501804173 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015775958076119423, model_test_time: 0.013697576941922307
Total test time: 0.029326574876904488 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015683570876717567, model_test_time: 0.01364300400018692
Total test time: 0.029486570972949266 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0157919570337981, model_test_time: 0.013694613939151168
Total test time: 0.029519978910684586 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015752699924632907, model_test_time: 0.013767278986051679
Total test time: 0.029426501132547855 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01578897819854319, model_test_time: 0.013637522934004664
Total test time: 0.029452831717208028 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01578606991097331, model_test_time: 0.013666761806234717
speedup/out/models_res/src_dst/iat_size-header_False/MACCDC1/before_proj_False-gs_True/KJL-GMM(full)-std_False_center_False-d_5-full/MACCDC1-KJL-GMM(full).dat
