Namespace(dataset='UNB345_3', feat='iat_size', gs='True', header='False', model='OCSVM(rbf)', time='2021-04-09 08:23:54')
***UNB345_3, OCSVM(rbf), iat_size, speedup/data/models/src_dst/iat_size-header_False/UNB345_3/before_proj_False-gs_True/OCSVM(rbf)-std_False_center_False-d_5-None
***0_th repeat
Total test time: 0.38062064885161817 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0925810784101486e-05, model_test_time: 0.38060972304083407
Total test time: 0.38133187405765057 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0555144399404526e-05, model_test_time: 0.38132131891325116
Total test time: 0.3803125449921936 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0316027328372002e-05, model_test_time: 0.3803022289648652
Total test time: 0.3808668639976531 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0683201253414154e-05, model_test_time: 0.3808561807963997
Total test time: 0.37968585500493646 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0686228051781654e-05, model_test_time: 0.3796751687768847
Total test time: 0.41425114101730287 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0795891284942627e-05, model_test_time: 0.41424034512601793
Total test time: 0.4119642248842865 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0277144610881805e-05, model_test_time: 0.41195394773967564
Total test time: 0.37993999500758946 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.116609200835228e-05, model_test_time: 0.3799288289155811
Total test time: 0.3799550503026694 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.1054566130042076e-05, model_test_time: 0.37994399573653936
Total test time: 0.41589892213232815 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0666903108358383e-05, model_test_time: 0.4158882552292198
Total test time: 0.4113827559631318 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.1035939678549767e-05, model_test_time: 0.41137172002345324
Total test time: 0.4101251910906285 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0388903319835663e-05, model_test_time: 0.41011480218730867
Total test time: 0.38129881815984845 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.1184252798557281e-05, model_test_time: 0.3812876339070499
Total test time: 0.37988116568885744 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0668067261576653e-05, model_test_time: 0.37987049762159586
Total test time: 0.3798683856148273 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0073650628328323e-05, model_test_time: 0.37985831196419895
Total test time: 0.4138005201239139 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.07581727206707e-05, model_test_time: 0.4137897619511932
Total test time: 0.4111495187971741 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0869000107049942e-05, model_test_time: 0.41113864979706705
Total test time: 0.3796392441727221 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0315096005797386e-05, model_test_time: 0.3796289290767163
***3_th repeat
Total test time: 0.41323616285808384 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0499730706214905e-05, model_test_time: 0.41322566312737763
Total test time: 0.38024384225718677 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0981457307934761e-05, model_test_time: 0.38023286079987884
