Namespace(dataset='MACCDC1', feat='stats', gs='False', header='True', model='OCSVM(rbf)', time='2021-04-09 09:33:50')
***MACCDC1, OCSVM(rbf), stats, speedup/data/models/src_dst/stats-header_True/MACCDC1/before_proj_False-gs_False/OCSVM(rbf)-std_False_center_False-d_5-None
***0_th repeat
Total test time: 0.531225613784045 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.4445045962929726e-05, model_test_time: 0.531211168738082
Total test time: 0.5171847289893776 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.1221971362829208e-05, model_test_time: 0.5171735070180148
Total test time: 0.45171998301520944 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.5425030142068863e-05, model_test_time: 0.45170455798506737
Total test time: 0.4960572742857039 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.5110243111848831e-05, model_test_time: 0.49604216404259205
Total test time: 0.4964191750623286 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.4112098142504692e-05, model_test_time: 0.4964050629641861
Total test time: 0.49601416499353945 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.4389865100383759e-05, model_test_time: 0.49599977512843907
Total test time: 0.5068735429085791 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.081591472029686e-05, model_test_time: 0.5068627269938588
Total test time: 0.49502057512290776 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.527811400592327e-05, model_test_time: 0.49500529700890183
Total test time: 0.538651266368106 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.4368677511811256e-05, model_test_time: 0.5386368976905942
Total test time: 0.4957845399621874 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.5055062249302864e-05, model_test_time: 0.4957694848999381
Total test time: 0.47703683003783226 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.4703022316098213e-05, model_test_time: 0.47702212701551616
Total test time: 0.4773441737052053 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.09055545181036e-05, model_test_time: 0.4773332681506872
Total test time: 0.5388778550550342 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.4276942238211632e-05, model_test_time: 0.538863578112796
Total test time: 0.49809865606948733 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.4352146536111832e-05, model_test_time: 0.4980843039229512
Total test time: 0.49617258715443313 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.5333062037825584e-05, model_test_time: 0.4961572540923953
Total test time: 0.5363746888469905 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.4221761375665665e-05, model_test_time: 0.5363604670856148
Total test time: 0.5095561128109694 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0758871212601662e-05, model_test_time: 0.5095453539397568
Total test time: 0.4721560450270772 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.5685101971030235e-05, model_test_time: 0.47214035992510617
***3_th repeat
Total test time: 0.5274531207978725 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.3981945812702179e-05, model_test_time: 0.5274391388520598
Total test time: 0.5332461611833423 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0999152436852455e-05, model_test_time: 0.5332351620309055
Total test time: 0.4967519259080291 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.4795921742916107e-05, model_test_time: 0.49673712998628616
Total test time: 0.4928381016943604 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.5443889424204826e-05, model_test_time: 0.49282265780493617
Total test time: 0.49111945391632617 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.481478102505207e-05, model_test_time: 0.4911046391353011
Total test time: 0.5006847861222923 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.5333062037825584e-05, model_test_time: 0.5006694530602545
Total test time: 0.4794687037356198 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.4296034350991249e-05, model_test_time: 0.4794544077012688
Total test time: 0.5317750999238342 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.1221040040254593e-05, model_test_time: 0.531763878883794
Total test time: 0.5048353453166783 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.5185214579105377e-05, model_test_time: 0.5048201601020992
Total test time: 0.4967065011151135 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.496216282248497e-05, model_test_time: 0.496691538952291
Total test time: 0.5068354869727045 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.505482941865921e-05, model_test_time: 0.5068204321432859
Total test time: 0.4972261181101203 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.54061708599329e-05, model_test_time: 0.49721071193926036
Total test time: 0.4955331929959357 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.3795914128422737e-05, model_test_time: 0.49551939708180726
Total test time: 0.5222720650490373 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.4202902093529701e-05, model_test_time: 0.5222578621469438
Total test time: 0.5270127048715949 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.1500902473926544e-05, model_test_time: 0.527001203969121
Total test time: 0.5013260708656162 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.4315824955701828e-05, model_test_time: 0.5013117550406605
Total test time: 0.46739246184006333 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0424759238958359e-05, model_test_time: 0.4673820370808244
Total test time: 0.5050483241211623 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.061195507645607e-05, model_test_time: 0.5050377121660858
Total test time: 0.4897794642020017 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0129064321517944e-05, model_test_time: 0.4897693351376802
Total test time: 0.4973496540915221 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.3869954273104668e-05, model_test_time: 0.497335784137249
***4_th repeat
