UNB3_345,IAT+SIZE,header_False,OCSVM(rbf),tuning_False,0|0|1854,43,1.633729304652661-1.4746485692448914-1.3996928387787193-1.3656884615775198-1.5667839860543609,0-0-0-0-0,0-0-0-0-0,0-0-0-0-0,0.0798963606916368-0.07548836056143045-0.08301396525232121-0.07627338088816032-0.07781401547603309,0.6013116047520796-0.6058337377186154-0.6080232367347083-0.582653442395171-0.6054223702446908,705.065-705.065-705.065-705.769-705.065
SFRIG1_2021,IAT+SIZE,header_False,KDE,tuning_False,0|0|5000,15,0.17749470099806786-0.009730108082294464-0.011641352204605937-0.005536175798624754-0.011188191827386618,0-0-0-0-0,0-0-0-0-0,0-0-0-0-0,2.3139421213627793-1.8538709913264029-2.145411143810488-1.9549623761628754-1.9197540397243573,0.79819488-0.7972354399999996-0.7986434400000003-0.79684184-0.79868712,547.636-547.636-547.636-547.636-547.636
SFRIG1_2021,IAT+SIZE,header_False,KDE,tuning_True,0|0|5000,15,0.011585074942559004-0.005545041058212519-0.011966069228947163-0.006718296092003584-0.010917589999735355,0-0-0-0-0,0-0-0-0-0,0-0-0-0-0,0.6551912009599619-0.9193416601698846-0.578844949316699-0.7960843428317458-0.6050151167833246,0.9221645600000004-0.9207003999999996-0.9213172000000003-0.9130984800000003-0.9269759200000003,547.636-547.636-547.636-547.636-547.636
SFRIG1_2021,IAT+SIZE,header_False,GMM(full),tuning_False,0|0|5000,15,0.011241671163588762-0.007480050204321742-0.007750288117676973-0.009920415934175253-0.009642821038141847,0-0-0-0-0,0-0-0-0-0,0-0-0-0-0,0.0023102792818099262-0.0031286850431934-0.0024058778746984897-0.0023256241832859815-0.0017582805594429374,0.7618700000000002-0.8211789599999997-0.8230426399999999-0.8231170399999997-0.8089162400000002,2.387-2.387-2.387-2.387-2.387
SFRIG1_2021,IAT+SIZE,header_False,GMM(full),tuning_True,0|0|5000,15,0.21206016116775572-0.2466663750819862-0.1471346712205559-0.10967284068465233-0.050551167922094464,0-0-0-0-0,0-0-0-0-0,0-0-0-0-0,0.02463286075508222-0.021184905776754023-0.018730432998854667-0.017001061292830855-0.007869486238341779,0.8643581599999998-0.8620170399999997-0.8927456800000004-0.87522072-0.88684872,39.022-39.022-35.166-27.454-8.174
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
AECHO1_2020,IAT+SIZE,header_False,OCSVM(rbf),tuning_False,0|0|1120,35,1.267715562833473-1.2817526918370277-1.3149525721091777-1.1880361738149077-1.2091997298412025,0-0-0-0-0,0-0-0-0-0,0-0-0-0-0,0.06256746697239578-0.05925321052316576-0.061874558641575275-0.05886333358474076-0.06258084945613518,0.7883976403061221-0.7786639030612247-0.774939413265306-0.7785443239795917-0.7765848214285714,577.577-577.577-577.865-577.289-577.289
AECHO1_2020,IAT+SIZE,header_False,OCSVM(rbf),tuning_True,0|0|1120,35,2.3878881009295583-1.294936612714082-1.6766670036595315-1.6971368165686727-2.2688746289350092,0-0-0-0-0,0-0-0-0-0,0-0-0-0-0,0.0620997008937411-0.06049382723635063-0.06437513286015019-0.06220341891516-0.06734208428068086,0.8947130102040819-0.8951977040816326-0.8911304209183675-0.8956935586734697-0.9487468112244902,578.153-577.865-577.577-578.153-578.153
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
AECHO1_2020,IAT+SIZE,header_False,KDE,tuning_False,0|0|1120,35,0.022221317049115896-0.018515991047024727-0.019138190196827054-0.015247654169797897-0.010217786068096757,0-0-0-0-0,0-0-0-0-0,0-0-0-0-0,0.6953776512807235-0.7074157207715325-0.6845556516572833-0.7141522650257685-0.7421098573692143,0.7607270408163262-0.7596747448979593-0.7608227040816328-0.7592219387755101-0.7615688775510203,1228.276-1228.276-1228.276-1228.276-1228.276
AECHO1_2020,IAT+SIZE,header_False,KDE,tuning_True,0|0|1120,35,0.019942793995141983-0.014680234948173165-0.01755723194219172-0.01569576095789671-0.009153018705546856,0-0-0-0-0,0-0-0-0-0,0-0-0-0-0,0.698604004830122-0.6960639503085986-0.7101498201908544-0.7691092958371155-0.6867763655725867,0.7920982142857141-0.7887468112244896-0.7889668367346938-0.7888871173469388-0.8767602040816327,1228.276-1228.276-1228.276-1228.276-1228.276
AECHO1_2020,IAT+SIZE,header_False,GMM(full),tuning_False,0|0|1120,35,0.03127242112532258-0.013603322207927704-0.018439003033563495-0.013711942126974463-0.03874997911043465,0-0-0-0-0,0-0-0-0-0,0-0-0-0-0,0.0010945940273813903-0.0009686129773035646-0.0008829554147087037-0.0010670442483387888-0.0008342305687256157,0.9316230867346939-0.9385841836734694-0.9201179846938775-0.9286575255102038-0.9323820153061223,10.55-10.55-10.55-10.55-10.55
AECHO1_2020,IAT+SIZE,header_False,GMM(full),tuning_True,0|0|1120,35,0.3093683619517833-0.25906995055265725-0.5855786032043397-0.06370567134581506-0.11252706684172153,0-0-0-0-0,0-0-0-0-0,0-0-0-0-0,0.007477588064502925-0.007647993990685791-0.008483945932239294-0.003482256252318621-0.0037294521112926303,0.9602232142857143-0.9553890306122448-0.9575127551020411-0.9643973214285713-0.961313775510204,182.046-161.87-202.222-81.166-81.166
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
DWSHR_AECHO_2020,IAT+SIZE,header_False,OCSVM(rbf),tuning_False,0|0|2032,29,1.2339457189664245-3.855401009786874-4.891176259610802-1.873545294860378-1.8576321173459291,0-0-0-0-0,0-0-0-0-0,0-0-0-0-0,0.08474328272044658-0.08868175313109532-0.08519426749786362-0.08199476567097008-0.07820393091998995,0.8746599680699363-0.8779265996031994-0.8833467666935333-0.8957894165788332-0.8714349928699856,481.673-481.433-481.433-481.433-481.433
DWSHR_AECHO_2020,IAT+SIZE,header_False,OCSVM(rbf),tuning_True,0|0|2032,29,1.2698929803445935-1.1936644029337913-0.9918698009569198-1.169753032270819-1.0347129027359188,0-0-0-0-0,0-0-0-0-0,0-0-0-0-0,0.08134893019916489-0.09828657378675416-0.10015905583044514-0.10642164767719806-0.0863159487140365,0.9287143886787771-0.9257165858081716-0.9269076663153328-0.9288219201438404-0.9284504037758076,482.633-482.153-482.393-482.153-482.393
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
DWSHR_AECHO_2020,IAT+SIZE,header_False,KDE,tuning_False,0|0|2032,29,0.015077739022672176-0.012593850027769804-0.012570424936711788-0.011400480754673481-0.008228585822507739,0-0-0-0-0,0-0-0-0-0,0-0-0-0-0,0.9262547128694132-0.9649434693926014-0.990553084872663-1.0168316792114638-0.9463079849723727,0.811599060698121-0.8119720301940603-0.8118383424266846-0.8128259850269705-0.8110967628185256,1024.084-1024.084-1024.084-1024.084-1024.084
DWSHR_AECHO_2020,IAT+SIZE,header_False,KDE,tuning_True,0|0|2032,29,0.013317974051460624-0.009856851072981954-0.01015885779634118-0.012167016277089715-0.019856086932122707,0-0-0-0-0,0-0-0-0-0,0-0-0-0-0,0.508729511690326-0.5948495195480064-0.6016839401517063-0.7043101710849442-0.5796690589073115,0.907103470456941-0.905120435240871-0.905861530473061-0.9068360949221893-0.9072739707979417,1024.084-1024.084-1024.084-1024.084-1024.084
DWSHR_AECHO_2020,IAT+SIZE,header_False,GMM(full),tuning_False,0|0|2032,29,0.08817290235310793-0.017649334389716387-0.03592316550202668-0.06240420392714441-0.013560521882027388,0-0-0-0-0,0-0-0-0-0,0-0-0-0-0,0.0007490610331296921-0.0015273537067696452-0.001226526196114719-0.0011250767624005676-0.0018247187230736018,0.8796073842147681-0.8764647529295059-0.8770305040610082-0.8838718302436607-0.8710038982577969,7.427-7.427-7.427-7.427-7.427
DWSHR_AECHO_2020,IAT+SIZE,header_False,GMM(full),tuning_True,0|0|2032,29,0.22372736292891204-0.5208103065378964-0.49879945116117597-0.10718172183260322-0.3697074835654348,0-0-0-0-0,0-0-0-0-0,0-0-0-0-0,0.007686626135837287-0.007423866270110011-0.008662240167614072-0.005494548652786761-0.005697760826442391,0.9130816386632769-0.9087513175026349-0.9093732562465126-0.9194986514973031-0.9095069440138879,98.014-98.014-98.014-70.142-70.142
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
,0_0|0_0|0_0,
