CTU1|, Nystrom-OCSVM(linear), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-30), stats(auc: 0.3952+/-0.0173,train_time: 0.00000+/-0.00000,test_time: 0.00488+/-0.00080), => aucs:0.38115555555555564-0.3842666666666667-0.3890555555555555-0.4289111111111111-0.39244444444444443, train_times:0-0-0-0-0, test_times:0.006415850482881069-0.00446639284491539-0.004860288463532925-0.004327468108385801-0.004307598434388637, n_comp: -, -, space_sizes: |model_spaces: 148.873-148.921-148.969-148.921-148.921,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
CTU1|, KJL-GMM(full), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-30), stats(auc: 0.4844+/-0.0357,train_time: 0.00000+/-0.00000,test_time: 0.00304+/-0.00043), => aucs:0.5435444444444444-0.5055444444444444-0.44624444444444433-0.4698888888888889-0.4566555555555555, train_times:0-0-0-0-0, test_times:0.003072452358901501-0.0026451035402715204-0.002881268598139286-0.0038615853525698187-0.002743983827531338, n_comp: -, -, space_sizes: |model_spaces: 28.941-28.941-28.941-28.941-28.941,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
CTU1|, Nystrom-GMM(full), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-30), stats(auc: 0.5795+/-0.0394,train_time: 0.00000+/-0.00000,test_time: 0.00345+/-0.00024), => aucs:0.6545222222222223-0.5533-0.5585888888888888-0.5834444444444443-0.5477888888888888, train_times:0-0-0-0-0, test_times:0.003924124035984277-0.0033006433397531508-0.0032930538058280946-0.0033496197313070296-0.00339669669046998, n_comp: -, -, space_sizes: |model_spaces: 28.953-28.953-28.953-28.953-28.953,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
CTU1|, KJL-QS-GMM(full), X_train, X_test, auc, train, test, => aucs:, train_times:, test_times:, n_comp:, , space_sizes: |model_spaces: ,tot_clusters:, ,n_clusters: , , with params: : 
CTU1|, Nystrom-QS-GMM(full), X_train, X_test, auc, train, test, => aucs:, train_times:, test_times:, n_comp:, , space_sizes: |model_spaces: ,tot_clusters:, ,n_clusters: , , with params: : 
CTU1|, KJL-QS-init_GMM(full), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-30), stats(auc: 0.4987+/-0.0239,train_time: 0.00000+/-0.00000,test_time: 0.00383+/-0.00008), => aucs:0.5390333333333336-0.5032888888888889-0.4937111111111111-0.4648555555555555-0.49238888888888904, train_times:0-0-0-0-0, test_times:0.0038892336189746855-0.003777130879461765-0.0037089843302965165-0.003927499614655971-0.003871466685086489, n_comp: -, -, space_sizes: |model_spaces: 29.936-29.936-29.936-30.435-30.184,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
CTU1|, Nystrom-QS-init_GMM(full), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-30), stats(auc: 0.5857+/-0.0253,train_time: 0.00000+/-0.00000,test_time: 0.00323+/-0.00022), => aucs:0.5943111111111111-0.598111111111111-0.6034222222222223-0.5971444444444444-0.5354777777777779, train_times:0-0-0-0-0, test_times:0.003440035041421652-0.0028914676047861578-0.0032887110486626626-0.0034599837847054003-0.003052056394517422, n_comp: -, -, space_sizes: |model_spaces: 30.196-29.948-30.196-30.447-30.196,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
MAWI1_2020|, OCSVM(rbf), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-79), stats(auc: 0.9913+/-0.0007,train_time: 0.00000+/-0.00000,test_time: 0.06718+/-0.00026), => aucs:0.9916666666666666-0.9916666666666666-0.9899999999999997-0.9916666666666666-0.9916666666666666, train_times:0-0-0-0-0, test_times:0.06669573411345482-0.067131522949785-0.06741928365081548-0.06734182927757501-0.06728689763695002, n_comp: -, -, space_sizes: |model_spaces: 1602.506-1601.226-1601.866-1601.866-1602.506,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
MAWI1_2020|, KJL-OCSVM(linear), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-79), stats(auc: 0.7627+/-0.0078,train_time: 0.00000+/-0.00000,test_time: 0.00457+/-0.00087), => aucs:0.7516666666666667-0.7566666666666665-0.7683333333333332-0.7633333333333334-0.7733333333333333, train_times:0-0-0-0-0, test_times:0.006304713990539312-0.004083871562033892-0.004158112034201622-0.004109062440693379-0.004177218582481146, n_comp: -, -, space_sizes: |model_spaces: 188.157-188.157-188.109-188.157-188.157,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
MAWI1_2020|, Nystrom-OCSVM(linear), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-79), stats(auc: 0.8850+/-0.0047,train_time: 0.00000+/-0.00000,test_time: 0.00448+/-0.00125), => aucs:0.8833333333333332-0.8883333333333333-0.8866666666666665-0.89-0.8766666666666666, train_times:0-0-0-0-0, test_times:0.006978783663362265-0.003864787332713604-0.003755500353872776-0.003892176691442728-0.003920463565737009, n_comp: -, -, space_sizes: |model_spaces: 188.169-188.169-188.265-188.169-188.169,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
