CTU1|, Nystrom-OCSVM(linear), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-30), stats(auc: 0.3952+/-0.0173,train_time: 0.00000+/-0.00000,test_time: 0.05922+/-0.00003), => aucs:0.38115555555555564-0.3842666666666667-0.3890555555555555-0.4289111111111111-0.39244444444444443, train_times:0-0-0-0-0, test_times:0.05923802794422954-0.05923335098195821-0.05924640151206404-0.05917173732304946-0.05921599265420809, n_comp: -, -, space_sizes: |model_spaces: 148.873-148.921-148.969-148.921-148.921,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
CTU1|, KJL-GMM(full), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-30), stats(auc: 0.4844+/-0.0357,train_time: 0.00000+/-0.00000,test_time: 0.01500+/-0.00002), => aucs:0.5435444444444444-0.5055444444444444-0.44624444444444433-0.4698888888888889-0.4566555555555555, train_times:0-0-0-0-0, test_times:0.015037987485993654-0.01499913486186415-0.015011202206369489-0.014971118816174567-0.014983873430173844, n_comp: -, -, space_sizes: |model_spaces: 28.941-28.941-28.941-28.941-28.941,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
CTU1|, Nystrom-GMM(full), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-30), stats(auc: 0.5795+/-0.0394,train_time: 0.00000+/-0.00000,test_time: 0.01502+/-0.00005), => aucs:0.6545222222222223-0.5533-0.5585888888888888-0.5834444444444443-0.5477888888888888, train_times:0-0-0-0-0, test_times:0.015022889175452293-0.015019764576572925-0.015026437188498675-0.01492444338509813-0.015094393875915556, n_comp: -, -, space_sizes: |model_spaces: 28.953-28.953-28.953-28.953-28.953,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
CTU1|, KJL-QS-GMM(full), X_train, X_test, auc, train, test, => aucs:, train_times:, test_times:, n_comp:, , space_sizes: |model_spaces: ,tot_clusters:, ,n_clusters: , , with params: : 
CTU1|, Nystrom-QS-GMM(full), X_train, X_test, auc, train, test, => aucs:, train_times:, test_times:, n_comp:, , space_sizes: |model_spaces: ,tot_clusters:, ,n_clusters: , , with params: : 
CTU1|, KJL-QS-init_GMM(full), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-30), stats(auc: 0.4987+/-0.0239,train_time: 0.00000+/-0.00000,test_time: 0.01665+/-0.00026), => aucs:0.5390333333333336-0.5032888888888889-0.4937111111111111-0.4648555555555555-0.49238888888888904, train_times:0-0-0-0-0, test_times:0.016470538312569262-0.016427309555001556-0.01642857538536191-0.017066033172886817-0.016860823275055736, n_comp: -, -, space_sizes: |model_spaces: 29.936-29.936-29.936-30.435-30.184,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
CTU1|, Nystrom-QS-init_GMM(full), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-30), stats(auc: 0.5857+/-0.0253,train_time: 0.00000+/-0.00000,test_time: 0.01686+/-0.00022), => aucs:0.5943111111111111-0.598111111111111-0.6034222222222223-0.5971444444444444-0.5354777777777779, train_times:0-0-0-0-0, test_times:0.016939317854121328-0.0164650414721109-0.016910543420817704-0.01713009293889627-0.016849558940157293, n_comp: -, -, space_sizes: |model_spaces: 30.196-29.948-30.196-30.447-30.196,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
MAWI1_2020|, OCSVM(rbf), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-79), stats(auc: 0.9913+/-0.0007,train_time: 0.00000+/-0.00000,test_time: 0.43376+/-0.00151), => aucs:0.9916666666666666-0.9916666666666666-0.9899999999999997-0.9916666666666666-0.9916666666666666, train_times:0-0-0-0-0, test_times:0.4356440173694864-0.43229653127491474-0.4354974324814975-0.4330939069041051-0.4322834254591726, n_comp: -, -, space_sizes: |model_spaces: 1602.506-1601.226-1601.866-1601.866-1602.506,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
MAWI1_2020|, KJL-OCSVM(linear), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-79), stats(auc: 0.7627+/-0.0078,train_time: 0.00000+/-0.00000,test_time: 0.06058+/-0.00048), => aucs:0.7516666666666667-0.7566666666666665-0.7683333333333332-0.7633333333333334-0.7733333333333333, train_times:0-0-0-0-0, test_times:0.060846661904361096-0.06068635901901871-0.060853485390543936-0.0596383941709064-0.06087350978050381, n_comp: -, -, space_sizes: |model_spaces: 188.157-188.157-188.109-188.157-188.157,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
MAWI1_2020|, Nystrom-OCSVM(linear), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-79), stats(auc: 0.8850+/-0.0047,train_time: 0.00000+/-0.00000,test_time: 0.06051+/-0.00046), => aucs:0.8833333333333332-0.8883333333333333-0.8866666666666665-0.89-0.8766666666666666, train_times:0-0-0-0-0, test_times:0.06074839507928118-0.060709810780826955-0.060820943652652205-0.059605434944387525-0.06068871774477884, n_comp: -, -, space_sizes: |model_spaces: 188.169-188.169-188.265-188.169-188.169,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
