CTU1|, Nystrom-OCSVM(linear), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-23), iat_size(auc: 0.4438+/-0.0916,train_time: 0.00000+/-0.00000,test_time: 0.00394+/-0.00028), => aucs:0.47204444444444443-0.39222777777777773-0.6082944444444445-0.3460388888888889-0.4002777777777776, train_times:0-0-0-0-0, test_times:0.004331939574331045-0.003913564141839743-0.004083245806396007-0.0034750981256365778-0.0038869868032634257, n_comp: -, -, space_sizes: |model_spaces: 143.465-143.369-143.369-143.369-143.417,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
CTU1|, KJL-GMM(full), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-23), iat_size(auc: 0.3785+/-0.0373,train_time: 0.00000+/-0.00000,test_time: 0.00412+/-0.00157), => aucs:0.38197222222222216-0.38341111111111115-0.3127333333333333-0.3856777777777777-0.4288833333333334, train_times:0-0-0-0-0, test_times:0.0072535410523414615-0.003364166524261236-0.003330083005130291-0.0033296735025942327-0.003326901979744434, n_comp: -, -, space_sizes: |model_spaces: 23.341-23.341-23.341-23.341-23.341,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
CTU1|, Nystrom-GMM(full), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-23), iat_size(auc: 0.3681+/-0.0252,train_time: 0.00000+/-0.00000,test_time: 0.00500+/-0.00226), => aucs:0.3790888888888889-0.3711944444444445-0.3192611111111112-0.39081111111111105-0.38018333333333326, train_times:0-0-0-0-0, test_times:0.008889206126332283-0.006282262038439512-0.0032847952097654343-0.0032672849483788013-0.0032958261668682098, n_comp: -, -, space_sizes: |model_spaces: 23.353-23.353-23.353-23.353-23.353,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
CTU1|, KJL-QS-GMM(full), X_train, X_test, auc, train, test, => aucs:, train_times:, test_times:, n_comp:, , space_sizes: |model_spaces: ,tot_clusters:, ,n_clusters: , , with params: : 
CTU1|, Nystrom-QS-GMM(full), X_train, X_test, auc, train, test, => aucs:, train_times:, test_times:, n_comp:, , space_sizes: |model_spaces: ,tot_clusters:, ,n_clusters: , , with params: : 
CTU1|, KJL-QS-init_GMM(full), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-23), iat_size(auc: 0.6706+/-0.0135,train_time: 0.00000+/-0.00000,test_time: 0.00384+/-0.00047), => aucs:0.6789555555555554-0.6831111111111112-0.6660777777777779-0.6461000000000001-0.6786777777777779, train_times:0-0-0-0-0, test_times:0.003591848537325859-0.0030628254637122153-0.0039637131616473194-0.004319405090063811-0.004256965406239033, n_comp: -, -, space_sizes: |model_spaces: 26.323-24.835-26.571-25.827-25.579,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
CTU1|, Nystrom-QS-init_GMM(full), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-23), iat_size(auc: 0.7255+/-0.0413,train_time: 0.00000+/-0.00000,test_time: 0.00446+/-0.00015), => aucs:0.6954277777777775-0.7253388888888888-0.8053333333333332-0.6980888888888888-0.7030777777777779, train_times:0-0-0-0-0, test_times:0.004255742393434047-0.004371859505772591-0.004695320501923561-0.004524445813149214-0.0044395653530955315, n_comp: -, -, space_sizes: |model_spaces: 27.079-27.079-27.079-26.583-26.335,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
MAWI1_2020|, OCSVM(rbf), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-121), iat_size(auc: 0.9856+/-0.0020,train_time: 0.00000+/-0.00000,test_time: 0.06667+/-0.00034), => aucs:0.9866666666666669-0.9866666666666669-0.9866666666666669-0.9865-0.9815333333333335, train_times:0-0-0-0-0, test_times:0.0667280364781618-0.06707682330161333-0.06627494990825653-0.06698655392974615-0.06628841394558549, n_comp: -, -, space_sizes: |model_spaces: 2446.442-2449.37-2446.442-2447.418-2447.418,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
MAWI1_2020|, KJL-OCSVM(linear), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-121), iat_size(auc: 0.8080+/-0.0049,train_time: 0.00000+/-0.00000,test_time: 0.00367+/-0.00046), => aucs:0.8033333333333333-0.8166666666666667-0.8033333333333333-0.8083333333333333-0.8083333333333333, train_times:0-0-0-0-0, test_times:0.004598207026720047-0.0034474628046154976-0.0034039624966681003-0.003511649463325739-0.0033988927491009234, n_comp: -, -, space_sizes: |model_spaces: 221.709-221.709-221.709-221.709-221.709,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
MAWI1_2020|, Nystrom-OCSVM(linear), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-121), iat_size(auc: 0.8453+/-0.0024,train_time: 0.00000+/-0.00000,test_time: 0.00385+/-0.00030), => aucs:0.8483333333333333-0.8433333333333334-0.8416666666666666-0.8466666666666669-0.8466666666666669, train_times:0-0-0-0-0, test_times:0.004243097454309464-0.0034477481618523597-0.003632285539060831-0.003800844307988882-0.004118377808481455, n_comp: -, -, space_sizes: |model_spaces: 221.721-221.721-221.721-221.673-221.721,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
