CTU1|, Nystrom-OCSVM(linear), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-23), iat_size(auc: 0.6513+/-0.0078,train_time: 0.00000+/-0.00000,test_time: 0.03191+/-0.00020), => aucs:0.6487777777777776-0.6593-0.6493777777777777-0.6602111111111112-0.6390444444444443, train_times:0-0-0-0-0, test_times:0.032319576223380865-0.03182260218309239-0.031817802833393215-0.03179253377020359-0.03182024540146813, n_comp: -, -, space_sizes: |model_spaces: 143.369-143.369-143.321-143.321-143.417,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
CTU1|, KJL-GMM(full), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-23), iat_size(auc: 0.7485+/-0.0463,train_time: 0.00000+/-0.00000,test_time: 0.02060+/-0.00187), => aucs:0.7318444444444444-0.7759666666666668-0.711288888888889-0.6985333333333335-0.824838888888889, train_times:0-0-0-0-0, test_times:0.01882158183725551-0.018577057321090253-0.0219631003215909-0.023462960391771048-0.020163138047792017, n_comp: -, -, space_sizes: |model_spaces: 24.584-24.584-26.571-27.563-25.579,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
CTU1|, Nystrom-GMM(full), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-23), iat_size(auc: 0.8731+/-0.0357,train_time: 0.00000+/-0.00000,test_time: 0.02063+/-0.00211), => aucs:0.8603555555555555-0.843311111111111-0.8676666666666668-0.9425333333333332-0.8516944444444444, train_times:0-0-0-0-0, test_times:0.018334834696725012-0.02264545721700415-0.023474872193764894-0.018443907820619644-0.020233999681659044, n_comp: -, -, space_sizes: |model_spaces: 24.1-27.079-27.575-24.1-25.591,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
CTU1|, KJL-QS-GMM(full), X_train, X_test, auc, train, test, => aucs:, train_times:, test_times:, n_comp:, , space_sizes: |model_spaces: ,tot_clusters:, ,n_clusters: , , with params: : 
CTU1|, Nystrom-QS-GMM(full), X_train, X_test, auc, train, test, => aucs:, train_times:, test_times:, n_comp:, , space_sizes: |model_spaces: ,tot_clusters:, ,n_clusters: , , with params: : 
CTU1|, KJL-QS-init_GMM(full), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-23), iat_size(auc: 0.6904+/-0.0277,train_time: 0.00000+/-0.00000,test_time: 0.02124+/-0.00062), => aucs:0.6919833333333332-0.7434666666666666-0.6731722222222223-0.6734222222222221-0.6697444444444443, train_times:0-0-0-0-0, test_times:0.021540513809304683-0.02017790419049561-0.021495616564061494-0.020983818685635924-0.02197860605083406, n_comp: -, -, space_sizes: |model_spaces: 26.323-25.579-26.323-26.075-26.075,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
CTU1|, Nystrom-QS-init_GMM(full), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-23), iat_size(auc: 0.7763+/-0.0421,train_time: 0.00000+/-0.00000,test_time: 0.02280+/-0.00022), => aucs:0.7711277777777777-0.7732944444444444-0.8523722222222222-0.7233555555555554-0.7615555555555553, train_times:0-0-0-0-0, test_times:0.022722771367989482-0.023055801074951886-0.023007135710213334-0.022464621684048326-0.022727126092649996, n_comp: -, -, space_sizes: |model_spaces: 27.079-27.327-27.327-26.831-26.583,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
MAWI1_2020|, OCSVM(rbf), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-121), iat_size(auc: 0.9909+/-0.0029,train_time: 0.00000+/-0.00000,test_time: 0.47670+/-0.01710), => aucs:0.9921444444444445-0.9938555555555555-0.9887111111111112-0.9864444444444445-0.9934666666666667, train_times:0-0-0-0-0, test_times:0.4852038609562442-0.4848197153536603-0.4862662067986093-0.44251123872818426-0.4846877190168016, n_comp: -, -, space_sizes: |model_spaces: 2441.562-2441.562-2442.538-2455.226-2440.586,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
MAWI1_2020|, KJL-OCSVM(linear), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-121), iat_size(auc: 0.9111+/-0.0157,train_time: 0.00000+/-0.00000,test_time: 0.03999+/-0.00017), => aucs:0.8967777777777778-0.9301888888888887-0.9303444444444444-0.900988888888889-0.8971111111111112, train_times:0-0-0-0-0, test_times:0.04026347388280556-0.040056064655072984-0.039853413589298725-0.04001448279013857-0.039761928957886994, n_comp: -, -, space_sizes: |model_spaces: 221.661-221.661-221.661-221.661-221.661,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
MAWI1_2020|, Nystrom-OCSVM(linear), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-121), iat_size(auc: 0.9929+/-0.0012,train_time: 0.00000+/-0.00000,test_time: 0.04038+/-0.00025), => aucs:0.9915999999999997-0.9916222222222222-0.9946777777777778-0.9935777777777777-0.9930333333333333, train_times:0-0-0-0-0, test_times:0.04077077629044652-0.0403193894890137-0.040135829884093255-0.04054867385420948-0.04012248030630872, n_comp: -, -, space_sizes: |model_spaces: 221.721-221.673-221.721-221.721-221.673,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
MAWI1_2020|, KJL-GMM(full), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-121), iat_size(auc: 0.9852+/-0.0152,train_time: 0.00000+/-0.00000,test_time: 0.03111+/-0.00143), => aucs:0.9594666666666669-0.9975444444444443-0.9985555555555555-0.9943333333333333-0.975988888888889, train_times:0-0-0-0-0, test_times:0.028331562911625953-0.03209378779865801-0.03161743929376826-0.032192616071552035-0.031325739284511656, n_comp: -, -, space_sizes: |model_spaces: 103.483-105.963-105.467-105.963-105.467,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
