UNB,UNB,UNB,UNB,UNB,UNB,UNB,UNB,UNB,CTU,CTU,CTU,CTU,CTU,CTU,CTU,CTU,CTU,MAWI,MAWI,MAWI,MAWI,MAWI,MAWI,MAWI,MAWI,MAWI,MACCDC,MACCDC,MACCDC,MACCDC,MACCDC,MACCDC,MACCDC,MACCDC,MACCDC,SFRIG,SFRIG,SFRIG,SFRIG,SFRIG,SFRIG,SFRIG,SFRIG,SFRIG,AECHO,AECHO,AECHO,AECHO,AECHO,AECHO,AECHO,AECHO,AECHO,DSHWR,DSHWR,DSHWR,DSHWR,DSHWR,DSHWR,DSHWR,DSHWR,DSHWR
UNB3_345,UNB3_345,UNB3_345,UNB3_345,UNB3_345,UNB3_345,UNB3_345,UNB3_345,UNB3_345,CTU1,CTU1,CTU1,CTU1,CTU1,CTU1,CTU1,CTU1,CTU1,MAWI1_2020,MAWI1_2020,MAWI1_2020,MAWI1_2020,MAWI1_2020,MAWI1_2020,MAWI1_2020,MAWI1_2020,MAWI1_2020,MACCDC1,MACCDC1,MACCDC1,MACCDC1,MACCDC1,MACCDC1,MACCDC1,MACCDC1,MACCDC1,SFRIG1_2021,SFRIG1_2021,SFRIG1_2021,SFRIG1_2021,SFRIG1_2021,SFRIG1_2021,SFRIG1_2021,SFRIG1_2021,SFRIG1_2021,AECHO1_2020,AECHO1_2020,AECHO1_2020,AECHO1_2020,AECHO1_2020,AECHO1_2020,AECHO1_2020,AECHO1_2020,AECHO1_2020,DWSHR_AECHO_2020,DWSHR_AECHO_2020,DWSHR_AECHO_2020,DWSHR_AECHO_2020,DWSHR_AECHO_2020,DWSHR_AECHO_2020,DWSHR_AECHO_2020,DWSHR_AECHO_2020,DWSHR_AECHO_2020
OCSVM,OC-KJL-SVM(linear),OC-Nystrom-SVM(linear),KDE,GMM(full),OC-KJL,OC-Nystrom,OC-KJL-QS,OC-Nystrom-QS,OCSVM,OC-KJL-SVM(linear),OC-Nystrom-SVM(linear),KDE,GMM(full),OC-KJL,OC-Nystrom,OC-KJL-QS,OC-Nystrom-QS,OCSVM,OC-KJL-SVM(linear),OC-Nystrom-SVM(linear),KDE,GMM(full),OC-KJL,OC-Nystrom,OC-KJL-QS,OC-Nystrom-QS,OCSVM,OC-KJL-SVM(linear),OC-Nystrom-SVM(linear),KDE,GMM(full),OC-KJL,OC-Nystrom,OC-KJL-QS,OC-Nystrom-QS,OCSVM,OC-KJL-SVM(linear),OC-Nystrom-SVM(linear),KDE,GMM(full),OC-KJL,OC-Nystrom,OC-KJL-QS,OC-Nystrom-QS,OCSVM,OC-KJL-SVM(linear),OC-Nystrom-SVM(linear),KDE,GMM(full),OC-KJL,OC-Nystrom,OC-KJL-QS,OC-Nystrom-QS,OCSVM,OC-KJL-SVM(linear),OC-Nystrom-SVM(linear),KDE,GMM(full),OC-KJL,OC-Nystrom,OC-KJL-QS,OC-Nystrom-QS
0,0,0,0,0,0,0,0,0,70.83 +/- 1.05,1.07 +/- 0.02,0.70 +/- 0.01,123.59 +/- 1.82,0.14 +/- 0.00,0.84 +/- 0.01,1.18 +/- 0.02,0.50 +/- 0.01,0.49 +/- 0.01,466.00 +/- 62.32,3.82 +/- 0.51,3.52 +/- 0.47,326.23 +/- 43.63,20.42 +/- 2.73,6.40 +/- 0.86,5.09 +/- 0.68,3.25 +/- 0.43,3.32 +/- 0.44,161.67 +/- 22.83,0.76 +/- 0.11,0.61 +/- 0.09,216.04 +/- 30.50,0.24 +/- 0.03,1.27 +/- 0.18,1.57 +/- 0.22,0.62 +/- 0.09,1.16 +/- 0.16,0,0,0,0,0,0,0,0,0,118.07 +/- 26.13,1.64 +/- 0.36,1.66 +/- 0.37,130.46 +/- 28.87,8.04 +/- 1.78,2.12 +/- 0.47,2.88 +/- 0.64,0.98 +/- 0.22,0.86 +/- 0.19,104.94 +/- 21.17,0.95 +/- 0.19,0.97 +/- 0.20,165.41 +/- 33.38,0.55 +/- 0.11,0.81 +/- 0.16,0.74 +/- 0.15,0.42 +/- 0.08,0.39 +/- 0.08
0,0,0,0,0,0,0,0,0,16.12 +/- 1.31,4.79 +/- 0.39,4.05 +/- 0.33,0.17 +/- 0.01,4.28 +/- 0.35,13.86 +/- 1.12,15.01 +/- 1.22,16.01 +/- 1.30,15.41 +/- 1.25,29.96 +/- 4.26,8.15 +/- 1.16,9.58 +/- 1.36,0.15 +/- 0.02,24.95 +/- 3.54,41.76 +/- 5.93,44.41 +/- 6.31,75.97 +/- 10.79,59.85 +/- 8.50,35.44 +/- 2.63,5.56 +/- 0.41,4.74 +/- 0.35,0.29 +/- 0.02,5.27 +/- 0.39,27.37 +/- 2.03,33.14 +/- 2.46,31.72 +/- 2.36,42.03 +/- 3.12,0,0,0,0,0,0,0,0,0,12.51 +/- 2.48,4.77 +/- 0.95,4.64 +/- 0.92,0.09 +/- 0.02,8.29 +/- 1.64,16.22 +/- 3.21,22.60 +/- 4.48,19.62 +/- 3.89,17.43 +/- 3.45,12.41 +/- 4.24,6.51 +/- 2.22,3.48 +/- 1.19,0.16 +/- 0.06,1.93 +/- 0.66,4.87 +/- 1.66,5.86 +/- 2.00,6.48 +/- 2.21,6.66 +/- 2.28
0,0,0,0,0,0,0,0,0,0.66 +/- 0.02,0.77 +/- 0.07,0.99 +/- 0.00,0.73 +/- 0.01,1.20 +/- 0.02,1.13 +/- 0.04,1.19 +/- 0.03,1.05 +/- 0.03,1.13 +/- 0.03,1.00 +/- 0.00,0.98 +/- 0.01,1.00 +/- 0.00,1.00 +/- 0.00,1.00 +/- 0.00,0.99 +/- 0.01,0.99 +/- 0.00,0.97 +/- 0.02,0.97 +/- 0.01,0.85 +/- 0.00,0.88 +/- 0.08,0.99 +/- 0.03,0.93 +/- 0.01,1.09 +/- 0.02,1.08 +/- 0.01,1.07 +/- 0.03,1.03 +/- 0.01,1.06 +/- 0.02,0,0,0,0,0,0,0,0,0,0.90 +/- 0.00,0.81 +/- 0.02,0.87 +/- 0.01,0.88 +/- 0.00,1.08 +/- 0.01,1.08 +/- 0.00,1.09 +/- 0.00,1.07 +/- 0.00,1.09 +/- 0.01,0.93 +/- 0.00,0.84 +/- 0.02,0.91 +/- 0.01,0.98 +/- 0.00,0.98 +/- 0.01,0.99 +/- 0.00,0.99 +/- 0.01,0.99 +/- 0.00,0.98 +/- 0.01
0,0,0,0,0,0,0,0,0,0.00 +/- 0.00,nan +/- nan,nan +/- nan,nan +/- nan,nan +/- nan,nan +/- nan,nan +/- nan,nan +/- nan,nan +/- nan,0.00 +/- 0.00,nan +/- nan,nan +/- nan,nan +/- nan,nan +/- nan,nan +/- nan,nan +/- nan,nan +/- nan,nan +/- nan,0.00 +/- 0.00,nan +/- nan,nan +/- nan,nan +/- nan,nan +/- nan,nan +/- nan,nan +/- nan,nan +/- nan,nan +/- nan,0,0,0,0,0,0,0,0,0,0.00 +/- 0.00,nan +/- nan,nan +/- nan,nan +/- nan,nan +/- nan,nan +/- nan,nan +/- nan,nan +/- nan,nan +/- nan,0.00 +/- 0.00,nan +/- nan,nan +/- nan,nan +/- nan,nan +/- nan,nan +/- nan,nan +/- nan,nan +/- nan,nan +/- nan
UNB3_345,UNB3_345,UNB3_345,UNB3_345,UNB3_345,UNB3_345,UNB3_345,UNB3_345,UNB3_345,CTU1,CTU1,CTU1,CTU1,CTU1,CTU1,CTU1,CTU1,CTU1,MAWI1_2020,MAWI1_2020,MAWI1_2020,MAWI1_2020,MAWI1_2020,MAWI1_2020,MAWI1_2020,MAWI1_2020,MAWI1_2020,MACCDC1,MACCDC1,MACCDC1,MACCDC1,MACCDC1,MACCDC1,MACCDC1,MACCDC1,MACCDC1,SFRIG1_2021,SFRIG1_2021,SFRIG1_2021,SFRIG1_2021,SFRIG1_2021,SFRIG1_2021,SFRIG1_2021,SFRIG1_2021,SFRIG1_2021,AECHO1_2020,AECHO1_2020,AECHO1_2020,AECHO1_2020,AECHO1_2020,AECHO1_2020,AECHO1_2020,AECHO1_2020,AECHO1_2020,DWSHR_AECHO_2020,DWSHR_AECHO_2020,DWSHR_AECHO_2020,DWSHR_AECHO_2020,DWSHR_AECHO_2020,DWSHR_AECHO_2020,DWSHR_AECHO_2020,DWSHR_AECHO_2020,DWSHR_AECHO_2020
OCSVM(rbf),KJL-OCSVM(linear),Nystrom-OCSVM(linear),KDE,GMM(diag),KJL-GMM(diag),Nystrom-GMM(diag),KJL-QS-GMM(diag),Nystrom-QS-GMM(diag),OCSVM(rbf),KJL-OCSVM(linear),Nystrom-OCSVM(linear),KDE,GMM(diag),KJL-GMM(diag),Nystrom-GMM(diag),KJL-QS-GMM(diag),Nystrom-QS-GMM(diag),OCSVM(rbf),KJL-OCSVM(linear),Nystrom-OCSVM(linear),KDE,GMM(diag),KJL-GMM(diag),Nystrom-GMM(diag),KJL-QS-GMM(diag),Nystrom-QS-GMM(diag),OCSVM(rbf),KJL-OCSVM(linear),Nystrom-OCSVM(linear),KDE,GMM(diag),KJL-GMM(diag),Nystrom-GMM(diag),KJL-QS-GMM(diag),Nystrom-QS-GMM(diag),OCSVM(rbf),KJL-OCSVM(linear),Nystrom-OCSVM(linear),KDE,GMM(diag),KJL-GMM(diag),Nystrom-GMM(diag),KJL-QS-GMM(diag),Nystrom-QS-GMM(diag),OCSVM(rbf),KJL-OCSVM(linear),Nystrom-OCSVM(linear),KDE,GMM(diag),KJL-GMM(diag),Nystrom-GMM(diag),KJL-QS-GMM(diag),Nystrom-QS-GMM(diag),OCSVM(rbf),KJL-OCSVM(linear),Nystrom-OCSVM(linear),KDE,GMM(diag),KJL-GMM(diag),Nystrom-GMM(diag),KJL-QS-GMM(diag),Nystrom-QS-GMM(diag)
0,0,0,0,0,0,0,0,0,70.83 +/- 1.05,1.07 +/- 0.02,0.70 +/- 0.01,123.59 +/- 1.82,0.50 +/- 0.01,0.98 +/- 0.01,1.05 +/- 0.02,0.49 +/- 0.01,0.49 +/- 0.01,466.00 +/- 62.32,3.82 +/- 0.51,3.52 +/- 0.47,326.23 +/- 43.63,185.10 +/- 24.75,5.70 +/- 0.76,5.29 +/- 0.71,3.41 +/- 0.46,2.44 +/- 0.33,161.67 +/- 22.83,0.76 +/- 0.11,0.61 +/- 0.09,216.04 +/- 30.50,0.98 +/- 0.14,1.21 +/- 0.17,1.62 +/- 0.23,0.62 +/- 0.09,1.13 +/- 0.16,0,0,0,0,0,0,0,0,0,118.07 +/- 26.13,1.64 +/- 0.36,1.66 +/- 0.37,130.46 +/- 28.87,64.22 +/- 14.21,3.02 +/- 0.67,2.21 +/- 0.49,0.99 +/- 0.22,0.81 +/- 0.18,104.94 +/- 21.17,0.95 +/- 0.19,0.97 +/- 0.20,165.41 +/- 33.38,0.96 +/- 0.19,0.86 +/- 0.17,0.85 +/- 0.17,0.41 +/- 0.08,0.43 +/- 0.09
0,0,0,0,0,0,0,0,0,16.12 +/- 1.31,4.79 +/- 0.39,4.05 +/- 0.33,0.17 +/- 0.01,25.66 +/- 2.08,11.14 +/- 0.90,13.41 +/- 1.09,11.89 +/- 0.96,11.43 +/- 0.93,29.96 +/- 4.26,8.15 +/- 1.16,9.58 +/- 1.36,0.15 +/- 0.02,139.84 +/- 19.87,49.64 +/- 7.05,69.74 +/- 9.91,78.74 +/- 11.19,43.74 +/- 6.21,35.44 +/- 2.63,5.56 +/- 0.41,4.74 +/- 0.35,0.29 +/- 0.02,38.78 +/- 2.88,21.83 +/- 1.62,25.64 +/- 1.91,24.09 +/- 1.79,31.39 +/- 2.33,0,0,0,0,0,0,0,0,0,12.51 +/- 2.48,4.77 +/- 0.95,4.64 +/- 0.92,0.09 +/- 0.02,63.43 +/- 12.56,12.70 +/- 2.52,28.78 +/- 5.70,17.38 +/- 3.44,8.44 +/- 1.67,12.41 +/- 4.24,6.51 +/- 2.22,3.48 +/- 1.19,0.16 +/- 0.06,8.37 +/- 2.86,6.64 +/- 2.27,6.87 +/- 2.35,6.98 +/- 2.39,7.01 +/- 2.40
