MAWI1_2020,IAT+SIZE,header_False,Nystrom-GMM(full),tuning_True,IAT+SIZE,header_False,Nystrom-GMM(full),tuning_True,10000|1250|5000,121,5.23727|1.31922,0.00000|0.00000,0.01352|0.00696,0.99088|0.00308,0.03373|0.00788,0.99148|0.00280
MAWI1_2020,IAT+SIZE,header_False,Nystrom-GMM(diag),tuning_True,IAT+SIZE,header_False,Nystrom-GMM(diag),tuning_True,10000|1250|5000,121,5.04115|3.93272,0.00000|0.00000,0.01234|0.01500,0.98444|0.00397,0.02148|0.00727,0.98660|0.00423
MAWI1_2020,IAT+SIZE,header_False,KJL-QS-GMM(full),tuning_True,IAT+SIZE,header_False,KJL-QS-GMM(full),tuning_True,10000|1250|5000,121,8.19694|1.37035,0.00000|0.00000,0.00754|0.00106,0.96402|0.03088,0.01972|0.00041,0.96971|0.02321
MAWI1_2020,IAT+SIZE,header_False,KJL-QS-GMM(diag),tuning_True,IAT+SIZE,header_False,KJL-QS-GMM(diag),tuning_True,10000|1250|5000,121,7.81206|0.21357,0.00000|0.00000,0.00694|0.00074,0.94168|0.00779,0.01902|0.00139,0.94799|0.00666
MAWI1_2020,IAT+SIZE,header_False,Nystrom-QS-GMM(full),tuning_True,IAT+SIZE,header_False,Nystrom-QS-GMM(full),tuning_True,10000|1250|5000,121,8.02717|0.61971,0.00000|0.00000,0.00809|0.00117,0.96788|0.01493,0.02503|0.00090,0.97106|0.01131
MAWI1_2020,IAT+SIZE,header_False,Nystrom-QS-GMM(diag),tuning_True,IAT+SIZE,header_False,Nystrom-QS-GMM(diag),tuning_True,10000|1250|5000,121,10.91222|0.80409,0.00000|0.00000,0.01193|0.00277,0.95407|0.01575,0.03424|0.00604,0.95908|0.01399
MACCDC1,IAT+SIZE,header_False,OCSVM(rbf),tuning_True,IAT+SIZE,header_False,OCSVM(rbf),tuning_True,10000|1250|5000,25,16.16676|2.28264,0.00000|0.00000,0.27188|0.01534,0.84439|0.00930,1.77194|0.13173,0.84733|0.00353
MACCDC1,IAT+SIZE,header_False,KJL-OCSVM(linear),tuning_True,IAT+SIZE,header_False,KJL-OCSVM(linear),tuning_True,10000|1250|5000,25,21.33878|6.68136,0.00000|0.00000,0.07847|0.00414,0.75021|0.07365,0.31853|0.08793,0.74778|0.07201
MACCDC1,IAT+SIZE,header_False,Nystrom-OCSVM(linear),tuning_True,IAT+SIZE,header_False,Nystrom-OCSVM(linear),tuning_True,10000|1250|5000,25,26.35025|6.32674,0.00000|0.00000,0.08032|0.00816,0.84112|0.02641,0.37396|0.02785,0.84101|0.02803
MACCDC1,IAT+SIZE,header_False,GMM(full),tuning_True,IAT+SIZE,header_False,GMM(full),tuning_True,10000|1250|5000,25,67.92718|34.72941,0.00000|0.00000,0.31790|0.14962,0.92012|0.02287,0.33613|0.15815,0.91960|0.01794
