UNB3_345,IAT+SIZE,header_False,OCSVM(rbf),tuning_False,0|0|1854,43,9.401893043890595-9.60022696852684-9.563822021707892-9.42292569577694-9.128220821730793,0-0-0-0-0,0-0-0-0-0,0-0-0-0-0,2.3102298542577775-2.31108383490704-2.3053271099552513-2.3106762951705604-2.307684973003343,0.5997382841728839-0.6041807037816715-0.6063946404694827-0.5922958494360133-0.6040375688473216,1761.417-1761.065-1761.065-1761.417-1761.065
UNB3_345,IAT+SIZE,header_False,OCSVM(rbf),tuning_True,0|0|1854,43,9.136286767199636-9.503790449351072-9.89671055227518-8.609750615432858-9.819810737855732,0-0-0-0-0,0-0-0-0-0,0-0-0-0-0,2.3334910315833985-2.3347976631764324-2.3349078981019558-2.3331534973811356-2.3306110802665354,0.6965952504803166-0.6785515210123246-0.666218060835838-0.6720953208840851-0.6588727949365145,1763.177-1764.233-1763.177-1763.177-1763.881
UNB3_345,IAT+SIZE,header_False,KJL-OCSVM(linear),tuning_False,0|0|1854,43,4.445154913701117-4.525130447000265-4.411408172920346-4.146316979080439-4.2204524371773005,0-0-0-0-0,0-0-0-0-0,0-0-0-0-0,0.23857427147217095-0.24774846215732396-0.2541432942263782-0.25665296223945916-0.2594802147895098,0.5581389665657738-0.5575687542256806-0.5450461930180407-0.5441489813563839-0.6576247281309021,279.281-279.281-279.281-279.281-279.281
UNB3_345,IAT+SIZE,header_False,KJL-OCSVM(linear),tuning_True,0|0|1854,43,5.03171453718096-162.1692662248388-3.367276456207037-54.67835783958435-46.56126356497407,0-0-0-0-0,0-0-0-0-0,0-0-0-0-0,0.25858343368396164-0.2615230237971991-0.26197435764595867-0.261915781609714-0.2656839932408184,0.884339990853329-0.7677880066889403-0.7171054392438754-0.6798269347362883-0.7362459546925568,279.473-280.673-279.281-280.241-281.873
UNB3_345,IAT+SIZE,header_False,Nystrom-OCSVM(linear),tuning_False,0|0|1854,43,4.876160332001746-4.74526818934828-4.670529080554843-4.552624944597483-4.617343442514539,0-0-0-0-0,0-0-0-0-0,0-0-0-0-0,0.2628006143681705-0.2623355857655406-0.26522040595300495-0.2631547910533845-0.25972008797340096,0.5931319669183747-0.5821099951241027-0.5743137959966439-0.5741386593493295-0.5779043881912517,279.345-279.345-279.345-279.393-279.345
UNB3_345,IAT+SIZE,header_False,Nystrom-OCSVM(linear),tuning_True,0|0|1854,43,5.237259052693844-4.384470088407397-4.657441089861095-4.267586137168109-4.557293423451483,0-0-0-0-0,0-0-0-0-0,0-0-0-0-0,0.26604080843739214-0.2642056289780885-0.2659709216933697-0.2645658028963953-0.26546799801290033,0.7300329675828465-0.7985195425733334-0.6520325742527017-0.7734668561168077-0.7227615965480045,279.441-279.441-279.489-279.537-279.393
UNB3_345,IAT+SIZE,header_False,KJL-GMM(full),tuning_False,0|0|1854,43,3.1174714183434844-3.1291078813374043-3.0600540162995458-2.8814194072037935-2.9331424701958895,0-0-0-0-0,0-0-0-0-0,0-0-0-0-0,0.07726062886416912-0.07619090578518808-0.0776408913731575-0.07706999624148012-0.07784826627001167,0.8080211420771325-0.8624327818565416-0.8575283738824129-0.9213153518617436-0.7875993944112207,39.357-39.357-39.357-39.357-39.357
UNB3_345,IAT+SIZE,header_False,KJL-GMM(full),tuning_True,0|0|1854,43,3.5225612679496408-3.2726227222010493-3.03887524548918-2.807250116020441-4.432438271120191,0-0-0-0-0,0-0-0-0-0,0-0-0-0-0,0.09595957760699093-0.0809586101397872-0.08270941480062902-0.07727504956535995-0.10079074503853917,0.9156551216123279-0.9521556935702159-0.8734407892669748-0.9213153518617436-0.9083773502348924,43.083-40.104-40.6-39.357-44.075
UNB3_345,IAT+SIZE,header_False,KJL-GMM(diag),tuning_False,0|0|1854,43,2.8902735682204366-3.1988651314750314-3.0662482641637325-2.4512265091761947-2.508117419667542,0-0-0-0-0,0-0-0-0-0,0-0-0-0-0,0.07701391789130867-0.07725455549545586-0.07684701935388148-0.07632184436544776-0.07759953169152141,0.27875703019448883-0.2768962760479398-0.11850990714848443-0.0679914212135282-0.33078366958405914,39.195-39.195-39.195-39.195-39.195
UNB3_345,IAT+SIZE,header_False,KJL-GMM(diag),tuning_True,0|0|1854,43,3.3855234691873193-3.7230179654434323-2.853122318163514-3.5201672529801726-3.247251751832664,0-0-0-0-0,0-0-0-0-0,0-0-0-0-0,0.08760233112610877-0.08793970580212772-0.07810367000289262-0.07914871408604085-0.08846250058151782,0.933549315803377-0.9190769775022142-0.9542387141595361-0.936988045323735-0.9157522904498739,40.697-40.697-39.459-39.635-40.873
UNB3_345,IAT+SIZE,header_False,Nystrom-GMM(full),tuning_False,0|0|1854,43,3.111002389341593-3.129534527659416-2.9867938114330173-2.807773320004344-2.8547663101926446,0-0-0-0-0,0-0-0-0-0,0-0-0-0-0,0.07832535815425218-0.07666882143355906-0.07766825392842293-0.07742254461161792-0.07779938402585686,0.8620039589028182-0.870681659760115-0.8748354821028965-0.9094927553940342-0.8425527359137186,39.373-39.373-39.373-39.373-39.373
UNB3_345,IAT+SIZE,header_False,Nystrom-GMM(full),tuning_True,0|0|1854,43,3.236485487781465-2.8858753135427833-2.8388611609116197-2.743061287328601-3.2534272391349077,0-0-0-0-0,0-0-0-0-0,0-0-0-0-0,0.10120309094898403-0.08111547935754061-0.08220021590590477-0.07775918369181455-0.08706059140153229,0.9498620435246572-0.9677160901121689-0.9248337947398494-0.9439993297095753-0.9670457996878957,44.091-40.12-40.12-40.12-41.611
UNB3_345,IAT+SIZE,header_False,Nystrom-GMM(diag),tuning_False,0|0|1854,43,2.9203408109024167-3.0533400969579816-2.9769024290144444-2.793749679811299-2.8388659628108144,0-0-0-0-0,0-0-0-0-0,0-0-0-0-0,0.07810981964692473-0.07685920151881874-0.07749798571690918-0.07717462575994433-0.0767540192976594,0.8563280187215839-0.8596305954995118-0.866199674397117-0.9032553306126058-0.8372433608082587,39.211-39.211-39.211-39.211-39.211
UNB3_345,IAT+SIZE,header_False,Nystrom-GMM(diag),tuning_True,0|0|1854,43,3.0846527284011245-3.5211435984820127-3.3512138184159994-3.1893696384504437-3.2679545944556594,0-0-0-0-0,0-0-0-0-0,0-0-0-0-0,0.09010802722536028-0.08785197791643441-0.08881409663707018-0.0836041978187859-0.08937081433832646,0.9504037452477455-0.9451473184310085-0.9296451068217182-0.9419483108332202-0.9196762823086385,40.713-40.713-40.889-40.361-40.889
UNB3_345,IAT+SIZE,header_False,KJL-QS-GMM(full),tuning_False,0|0|1854,43,6.998898332938552-7.366951995529234-6.824794480577111-6.865874388255179-7.6906451135873795,0-0-0-0-0,0-0-0-0-0,0-0-0-0-0,0.09517601345665753-0.09367446328513324-0.09230893891304731-0.09293262571096421-0.1010741538926959,0.909872703004321-0.893383674937073-0.8753853297165581-0.892982780751028-0.9083773502348924,42.59-42.342-42.094-42.094-44.078
UNB3_345,IAT+SIZE,header_False,KJL-QS-GMM(full),tuning_True,0|0|1854,43,6.470699151977897-7.070425188168883-6.978695880621672-6.500513789243996-7.639449789188802,0-0-0-0-0,0-0-0-0-0,0-0-0-0-0,0.09405028986744583-0.09283864772878588-0.0924399421736598-0.09276315715163946-0.10065815354697406,0.909872703004321-0.893383674937073-0.8753853297165581-0.892982780751028-0.9083773502348924,42.59-42.342-42.094-42.094-44.078
UNB3_345,IAT+SIZE,header_False,KJL-QS-GMM(diag),tuning_False,0|0|1854,43,6.743331948295236-7.340612154453993-6.414436172693968-6.678360141813755-7.072146728634834,0-0-0-0-0,0-0-0-0-0,0-0-0-0-0,0.08586532798595727-0.08416795253753662-0.08424669021740555-0.08422362430021167-0.0900431807897985,0.9153909620180394-0.9082045409848847-0.9306877808150315-0.8884839217575572-0.9157522904498739,40.348-40.26-40.172-40.172-40.876
UNB3_345,IAT+SIZE,header_False,KJL-QS-GMM(diag),tuning_True,0|0|1854,43,6.969080590642989-6.856928349472582-6.810025652870536-6.547666814178228-6.9921581633389,0-0-0-0-0,0-0-0-0-0,0-0-0-0-0,0.08511670736595989-0.08379381864331663-0.08365983817726373-0.08182512743398547-0.08916667280718685,0.9153909620180394-0.9082045409848847-0.9306877808150315-0.8858074148550787-0.9157522904498739,40.348-40.26-40.172-39.996-40.876
UNB3_345,IAT+SIZE,header_False,Nystrom-QS-GMM(full),tuning_False,0|0|1854,43,6.815560101531446-7.6569726802408695-6.781644638627768-7.211248365230858-7.14950490090996,0-0-0-0-0,0-0-0-0-0,0-0-0-0-0,0.10113102388568222-0.1018000334315002-0.10094199309125543-0.10247277821414173-0.10213606962934137,0.9498620435246572-0.9268667762870798-0.914465239739378-0.8997275781452738-0.9272019214992165,44.094-44.094-44.094-44.094-44.094
UNB3_345,IAT+SIZE,header_False,Nystrom-QS-GMM(full),tuning_True,0|0|1854,43,7.246840809471905-7.595329471863806-7.094237786717713-6.799488270655274-6.77276670653373,0-0-0-0-0,0-0-0-0-0,0-0-0-0-0,0.10175961309112608-0.10172471560537816-0.1019526656717062-0.1029992622602731-0.10192581231705844,0.9498620435246572-0.9268667762870798-0.914465239739378-0.8997275781452738-0.9272019214992165,44.094-44.094-44.094-44.094-44.094
