UNB3_345,IAT+SIZE,header_False,OCSVM(rbf),tuning_False,3.06 +/- 0.21,0.00 +/- 0.00,2.19 +/- 0.09,0.55 +/- 0.10,353.21 +/- 0.17
UNB3_345,IAT+SIZE,header_False,Nystrom-QS-GMM(full),tuning_False,0,0,0,0,0
UNB3_345,IAT+SIZE,header_False,Nystrom-QS-GMM(full),tuning_True,0,0,0,0,0
UNB3_345,IAT+SIZE,header_False,Nystrom-QS-GMM(diag),tuning_False,0,0,0,0,0
UNB3_345,IAT+SIZE,header_False,Nystrom-QS-GMM(diag),tuning_True,0,0,0,0,0
CTU1,IAT+SIZE,header_False,OCSVM(rbf),tuning_False,2.18 +/- 0.14,0.00 +/- 0.00,2.03 +/- 0.05,0.57 +/- 0.03,193.60 +/- 0.15
CTU1,IAT+SIZE,header_False,OCSVM(rbf),tuning_True,2.10 +/- 0.17,0.00 +/- 0.00,2.09 +/- 0.19,0.68 +/- 0.04,194.02 +/- 1.04
CTU1,IAT+SIZE,header_False,KJL-OCSVM(linear),tuning_False,0,0,0,0,0
CTU1,IAT+SIZE,header_False,KJL-OCSVM(linear),tuning_True,0,0,0,0,0
CTU1,IAT+SIZE,header_False,Nystrom-OCSVM(linear),tuning_False,0,0,0,0,0
CTU1,IAT+SIZE,header_False,Nystrom-OCSVM(linear),tuning_True,0,0,0,0,0
CTU1,IAT+SIZE,header_False,KDE,tuning_False,133.35 +/- 8.65,nan +/- nan,0.10 +/- 0.00,0.80 +/- 0.00,0.47 +/- 0.00
CTU1,IAT+SIZE,header_False,KDE,tuning_True,112.86 +/- 8.92,nan +/- nan,0.12 +/- 0.01,0.72 +/- 0.00,0.47 +/- 0.00
CTU1,IAT+SIZE,header_False,GMM(full),tuning_False,23.46 +/- 1.52,nan +/- nan,63.97 +/- 1.56,1.28 +/- 0.03,39.65 +/- 0.03
CTU1,IAT+SIZE,header_False,GMM(full),tuning_True,5.36 +/- 0.42,nan +/- nan,11.10 +/- 1.01,1.16 +/- 0.04,5.55 +/- 0.03
CTU1,IAT+SIZE,header_False,GMM(diag),tuning_False,0,0,0,0,0
CTU1,IAT+SIZE,header_False,GMM(diag),tuning_True,0,0,0,0,0
CTU1,IAT+SIZE,header_False,KJL-GMM(full),tuning_False,0,0,0,0,0
CTU1,IAT+SIZE,header_False,KJL-GMM(full),tuning_True,0,0,0,0,0
CTU1,IAT+SIZE,header_False,KJL-GMM(diag),tuning_False,0,0,0,0,0
CTU1,IAT+SIZE,header_False,KJL-GMM(diag),tuning_True,0,0,0,0,0
CTU1,IAT+SIZE,header_False,Nystrom-GMM(full),tuning_False,0,0,0,0,0
CTU1,IAT+SIZE,header_False,Nystrom-GMM(full),tuning_True,0,0,0,0,0
CTU1,IAT+SIZE,header_False,Nystrom-GMM(diag),tuning_False,0,0,0,0,0
CTU1,IAT+SIZE,header_False,Nystrom-GMM(diag),tuning_True,0,0,0,0,0
CTU1,IAT+SIZE,header_False,KJL-QS-GMM(full),tuning_False,0,0,0,0,0
CTU1,IAT+SIZE,header_False,KJL-QS-GMM(full),tuning_True,0,0,0,0,0
CTU1,IAT+SIZE,header_False,KJL-QS-GMM(diag),tuning_False,0,0,0,0,0
CTU1,IAT+SIZE,header_False,KJL-QS-GMM(diag),tuning_True,0,0,0,0,0
CTU1,IAT+SIZE,header_False,Nystrom-QS-GMM(full),tuning_False,0,0,0,0,0
CTU1,IAT+SIZE,header_False,Nystrom-QS-GMM(full),tuning_True,0,0,0,0,0
CTU1,IAT+SIZE,header_False,Nystrom-QS-GMM(diag),tuning_False,0,0,0,0,0
CTU1,IAT+SIZE,header_False,Nystrom-QS-GMM(diag),tuning_True,0,0,0,0,0
MAWI1_2020,IAT+SIZE,header_False,OCSVM(rbf),tuning_False,14.43 +/- 4.93,0.00 +/- 0.00,2.00 +/- 0.03,0.97 +/- 0.00,983.74 +/- 0.73
MAWI1_2020,IAT+SIZE,header_False,OCSVM(rbf),tuning_True,10.94 +/- 0.92,0.00 +/- 0.00,2.28 +/- 0.01,0.99 +/- 0.00,977.49 +/- 0.39
MAWI1_2020,IAT+SIZE,header_False,KJL-OCSVM(linear),tuning_False,0,0,0,0,0
MAWI1_2020,IAT+SIZE,header_False,KJL-OCSVM(linear),tuning_True,0,0,0,0,0
MAWI1_2020,IAT+SIZE,header_False,Nystrom-OCSVM(linear),tuning_False,0,0,0,0,0
MAWI1_2020,IAT+SIZE,header_False,Nystrom-OCSVM(linear),tuning_True,0,0,0,0,0
MAWI1_2020,IAT+SIZE,header_False,KDE,tuning_False,89.97 +/- 30.73,nan +/- nan,0.06 +/- 0.00,1.03 +/- 0.00,0.47 +/- 0.00
MAWI1_2020,IAT+SIZE,header_False,KDE,tuning_True,64.40 +/- 5.42,nan +/- nan,0.05 +/- 0.00,1.00 +/- 0.00,0.47 +/- 0.00
MAWI1_2020,IAT+SIZE,header_False,GMM(full),tuning_False,7.47 +/- 2.55,nan +/- nan,13.89 +/- 0.21,0.97 +/- 0.01,8.30 +/- 0.01
MAWI1_2020,IAT+SIZE,header_False,GMM(full),tuning_True,5.61 +/- 0.47,nan +/- nan,4.25 +/- 0.02,0.97 +/- 0.03,1.97 +/- 0.00
MAWI1_2020,IAT+SIZE,header_False,GMM(diag),tuning_False,0,0,0,0,0
MAWI1_2020,IAT+SIZE,header_False,GMM(diag),tuning_True,0,0,0,0,0
MAWI1_2020,IAT+SIZE,header_False,KJL-GMM(full),tuning_False,0,0,0,0,0
MAWI1_2020,IAT+SIZE,header_False,KJL-GMM(full),tuning_True,0,0,0,0,0
MAWI1_2020,IAT+SIZE,header_False,KJL-GMM(diag),tuning_False,0,0,0,0,0
MAWI1_2020,IAT+SIZE,header_False,KJL-GMM(diag),tuning_True,0,0,0,0,0
MAWI1_2020,IAT+SIZE,header_False,Nystrom-GMM(full),tuning_False,0,0,0,0,0
MAWI1_2020,IAT+SIZE,header_False,Nystrom-GMM(full),tuning_True,0,0,0,0,0
MAWI1_2020,IAT+SIZE,header_False,Nystrom-GMM(diag),tuning_False,0,0,0,0,0
MAWI1_2020,IAT+SIZE,header_False,Nystrom-GMM(diag),tuning_True,0,0,0,0,0
MAWI1_2020,IAT+SIZE,header_False,KJL-QS-GMM(full),tuning_False,0,0,0,0,0
MAWI1_2020,IAT+SIZE,header_False,KJL-QS-GMM(full),tuning_True,0,0,0,0,0
MAWI1_2020,IAT+SIZE,header_False,KJL-QS-GMM(diag),tuning_False,0,0,0,0,0
MAWI1_2020,IAT+SIZE,header_False,KJL-QS-GMM(diag),tuning_True,0,0,0,0,0
MAWI1_2020,IAT+SIZE,header_False,Nystrom-QS-GMM(full),tuning_False,0,0,0,0,0
MAWI1_2020,IAT+SIZE,header_False,Nystrom-QS-GMM(full),tuning_True,0,0,0,0,0
MAWI1_2020,IAT+SIZE,header_False,Nystrom-QS-GMM(diag),tuning_False,0,0,0,0,0
MAWI1_2020,IAT+SIZE,header_False,Nystrom-QS-GMM(diag),tuning_True,0,0,0,0,0
MACCDC1,IAT+SIZE,header_False,OCSVM(rbf),tuning_False,2.39 +/- 0.18,0.00 +/- 0.00,2.03 +/- 0.06,0.78 +/- 0.02,209.17 +/- 0.20
