UNB,UNB,UNB,UNB,UNB,UNB,UNB,UNB,UNB,CTU,CTU,CTU,CTU,CTU,CTU,CTU,CTU,CTU,MAWI,MAWI,MAWI,MAWI,MAWI,MAWI,MAWI,MAWI,MAWI,MACCDC,MACCDC,MACCDC,MACCDC,MACCDC,MACCDC,MACCDC,MACCDC,MACCDC,SFRIG,SFRIG,SFRIG,SFRIG,SFRIG,SFRIG,SFRIG,SFRIG,SFRIG,AECHO,AECHO,AECHO,AECHO,AECHO,AECHO,AECHO,AECHO,AECHO,DSHWR,DSHWR,DSHWR,DSHWR,DSHWR,DSHWR,DSHWR,DSHWR,DSHWR
UNB3_345,UNB3_345,UNB3_345,UNB3_345,UNB3_345,UNB3_345,UNB3_345,UNB3_345,UNB3_345,CTU1,CTU1,CTU1,CTU1,CTU1,CTU1,CTU1,CTU1,CTU1,MAWI1_2020,MAWI1_2020,MAWI1_2020,MAWI1_2020,MAWI1_2020,MAWI1_2020,MAWI1_2020,MAWI1_2020,MAWI1_2020,MACCDC1,MACCDC1,MACCDC1,MACCDC1,MACCDC1,MACCDC1,MACCDC1,MACCDC1,MACCDC1,SFRIG1_2021,SFRIG1_2021,SFRIG1_2021,SFRIG1_2021,SFRIG1_2021,SFRIG1_2021,SFRIG1_2021,SFRIG1_2021,SFRIG1_2021,AECHO1_2020,AECHO1_2020,AECHO1_2020,AECHO1_2020,AECHO1_2020,AECHO1_2020,AECHO1_2020,AECHO1_2020,AECHO1_2020,DWSHR_AECHO_2020,DWSHR_AECHO_2020,DWSHR_AECHO_2020,DWSHR_AECHO_2020,DWSHR_AECHO_2020,DWSHR_AECHO_2020,DWSHR_AECHO_2020,DWSHR_AECHO_2020,DWSHR_AECHO_2020
OCSVM,OC-KJL-SVM(linear),OC-Nystrom-SVM(linear),KDE,GMM(full),OC-KJL,OC-Nystrom,OC-KJL-QS,OC-Nystrom-QS,OCSVM,OC-KJL-SVM(linear),OC-Nystrom-SVM(linear),KDE,GMM(full),OC-KJL,OC-Nystrom,OC-KJL-QS,OC-Nystrom-QS,OCSVM,OC-KJL-SVM(linear),OC-Nystrom-SVM(linear),KDE,GMM(full),OC-KJL,OC-Nystrom,OC-KJL-QS,OC-Nystrom-QS,OCSVM,OC-KJL-SVM(linear),OC-Nystrom-SVM(linear),KDE,GMM(full),OC-KJL,OC-Nystrom,OC-KJL-QS,OC-Nystrom-QS,OCSVM,OC-KJL-SVM(linear),OC-Nystrom-SVM(linear),KDE,GMM(full),OC-KJL,OC-Nystrom,OC-KJL-QS,OC-Nystrom-QS,OCSVM,OC-KJL-SVM(linear),OC-Nystrom-SVM(linear),KDE,GMM(full),OC-KJL,OC-Nystrom,OC-KJL-QS,OC-Nystrom-QS,OCSVM,OC-KJL-SVM(linear),OC-Nystrom-SVM(linear),KDE,GMM(full),OC-KJL,OC-Nystrom,OC-KJL-QS,OC-Nystrom-QS
3.32 +/- 0.13,0,0,75.42 +/- 2.88,2.05 +/- 0.08,0,0,0,0,2.10 +/- 0.17,0,0,112.86 +/- 8.92,5.36 +/- 0.42,0,0,0,0,10.94 +/- 0.92,0,0,64.40 +/- 5.42,5.61 +/- 0.47,0,0,0,0,2.49 +/- 0.55,0,0,68.71 +/- 15.13,2.46 +/- 0.54,0,0,0,0,4.00 +/- 0.70,0,0,126.30 +/- 21.95,4.31 +/- 0.75,0,0,0,0,3.93 +/- 0.68,0,0,117.38 +/- 20.33,2.63 +/- 0.46,0,0,0,0,3.34 +/- 0.60,0,0,57.92 +/- 10.38,3.72 +/- 0.67,0,0,0,0
2.10 +/- 0.13,0,0,0.12 +/- 0.01,7.73 +/- 0.46,0,0,0,0,2.09 +/- 0.19,0,0,0.12 +/- 0.01,11.10 +/- 1.01,0,0,0,0,2.28 +/- 0.01,0,0,0.05 +/- 0.00,4.25 +/- 0.02,0,0,0,0,2.05 +/- 0.07,0,0,0.10 +/- 0.00,6.24 +/- 0.22,0,0,0,0,2.05 +/- 0.15,0,0,0.24 +/- 0.02,6.41 +/- 0.48,0,0,0,0,2.32 +/- 0.09,0,0,0.09 +/- 0.00,5.06 +/- 0.21,0,0,0,0,3.11 +/- 0.40,0,0,0.13 +/- 0.02,7.09 +/- 0.91,0,0,0,0
0.73 +/- 0.03,0,0,0.99 +/- 0.02,0.93 +/- 0.03,0,0,0,0,0.68 +/- 0.04,0,0,0.72 +/- 0.00,1.16 +/- 0.04,0,0,0,0,0.99 +/- 0.00,0,0,1.00 +/- 0.00,0.97 +/- 0.03,0,0,0,0,0.84 +/- 0.01,0,0,0.94 +/- 0.03,1.13 +/- 0.02,0,0,0,0,0.93 +/- 0.01,0,0,0.99 +/- 0.00,0.97 +/- 0.02,0,0,0,0,0.89 +/- 0.01,0,0,0.89 +/- 0.00,1.08 +/- 0.00,0,0,0,0,0.93 +/- 0.00,0,0,0.98 +/- 0.00,0.98 +/- 0.00,0,0,0,0
362.22 +/- 3.15,0,0,0.48 +/- 0.00,4.95 +/- 0.04,0,0,0,0,194.02 +/- 1.04,0,0,0.47 +/- 0.00,5.55 +/- 0.03,0,0,0,0,977.49 +/- 0.39,0,0,0.47 +/- 0.00,1.97 +/- 0.00,0,0,0,0,210.34 +/- 0.24,0,0,0.47 +/- 0.00,2.99 +/- 0.00,0,0,0,0,129.66 +/- 0.13,0,0,0.47 +/- 0.00,3.95 +/- 0.00,0,0,0,0,289.81 +/- 0.12,0,0,0.47 +/- 0.00,1.99 +/- 0.00,0,0,0,0,242.11 +/- 0.18,0,0,0.47 +/- 0.00,4.31 +/- 0.00,0,0,0,0
