MAWI1_2020,IAT+SIZE,header_False,OCSVM(rbf),tuning_True,IAT+SIZE,header_False,OCSVM(rbf),tuning_True,10000|1250|5000,121,26.65532|3.56460,0.00000|0.00000,0.25011|0.02804,0.99497|0.00112,1.49784|0.21282,0.99671|0.00002
MAWI1_2020,IAT+SIZE,header_False,KDE,tuning_True,IAT+SIZE,header_False,KDE,tuning_True,5720|1040|4160,121,0.08171|0.03983,0.00000|0.00000,2.73510|0.92428,0.99582|0.00194,9.79191|3.63393,0.99601|0.00094
MAWI1_2020,IAT+SIZE,header_False,KJL-OCSVM(linear),tuning_True,IAT+SIZE,header_False,KJL-OCSVM(linear),tuning_True,10000|1250|5000,121,6.97213|0.82962,0.00000|0.00000,0.03783|0.00795,0.96968|0.01203,0.18383|0.03159,0.97662|0.00800
MAWI1_2020,IAT+SIZE,header_False,Nystrom-OCSVM(linear),tuning_True,IAT+SIZE,header_False,Nystrom-OCSVM(linear),tuning_True,10000|1250|5000,121,7.57428|2.00651,0.00000|0.00000,0.04084|0.00890,0.99493|0.00112,0.15641|0.01736,0.99671|0.00009
MAWI1_2020,IAT+SIZE,header_False,GMM(full),tuning_True,IAT+SIZE,header_False,GMM(full),tuning_True,10000|1250|5000,121,1.30532|1.40721,0.00000|0.00000,0.01923|0.01960,0.99880|0.00113,0.06004|0.06377,0.99906|0.00028
MAWI1_2020,IAT+SIZE,header_False,GMM(diag),tuning_True,IAT+SIZE,header_False,GMM(diag),tuning_True,10000|1250|5000,121,0.14400|0.07066,0.00000|0.00000,0.00239|0.00185,0.99822|0.00017,0.01071|0.00978,0.99868|0.00017
MAWI1_2020,IAT+SIZE,header_False,KJL-GMM(full),tuning_True,IAT+SIZE,header_False,KJL-GMM(full),tuning_True,10000|1250|5000,121,4.16699|0.40196,0.00000|0.00000,0.00775|0.00170,0.98536|0.00910,0.03586|0.00310,0.98608|0.00790
MAWI1_2020,IAT+SIZE,header_False,KJL-GMM(diag),tuning_True,IAT+SIZE,header_False,KJL-GMM(diag),tuning_True,10000|1250|5000,121,4.67696|0.79868,0.00000|0.00000,0.00715|0.00225,0.98005|0.00552,0.03018|0.00711,0.98070|0.00569
MAWI1_2020,IAT+SIZE,header_False,Nystrom-GMM(full),tuning_True,IAT+SIZE,header_False,Nystrom-GMM(full),tuning_True,10000|1250|5000,121,5.23727|1.31922,0.00000|0.00000,0.01352|0.00696,0.99088|0.00308,0.03373|0.00788,0.99148|0.00280
MAWI1_2020,IAT+SIZE,header_False,Nystrom-GMM(diag),tuning_True,IAT+SIZE,header_False,Nystrom-GMM(diag),tuning_True,10000|1250|5000,121,5.04115|3.93272,0.00000|0.00000,0.01234|0.01500,0.98444|0.00397,0.02148|0.00727,0.98660|0.00423
MAWI1_2020,IAT+SIZE,header_False,KJL-QS-GMM(full),tuning_True,IAT+SIZE,header_False,KJL-QS-GMM(full),tuning_True,10000|1250|5000,121,8.19694|1.37035,0.00000|0.00000,0.00754|0.00106,0.96402|0.03088,0.01972|0.00041,0.96971|0.02321
MAWI1_2020,IAT+SIZE,header_False,KJL-QS-GMM(diag),tuning_True,IAT+SIZE,header_False,KJL-QS-GMM(diag),tuning_True,10000|1250|5000,121,7.81206|0.21357,0.00000|0.00000,0.00694|0.00074,0.94168|0.00779,0.01902|0.00139,0.94799|0.00666
MAWI1_2020,IAT+SIZE,header_False,Nystrom-QS-GMM(full),tuning_True,IAT+SIZE,header_False,Nystrom-QS-GMM(full),tuning_True,10000|1250|5000,121,8.02717|0.61971,0.00000|0.00000,0.00809|0.00117,0.96788|0.01493,0.02503|0.00090,0.97106|0.01131
MAWI1_2020,IAT+SIZE,header_False,Nystrom-QS-GMM(diag),tuning_True,IAT+SIZE,header_False,Nystrom-QS-GMM(diag),tuning_True,10000|1250|5000,121,10.91222|0.80409,0.00000|0.00000,0.01193|0.00277,0.95407|0.01575,0.03424|0.00604,0.95908|0.01399
