UNB345_3|, OCSVM(rbf), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-42), stats(auc: 0.4942+/-0.0029,train_time: 0.00000+/-0.00000,test_time: 0.28756+/-0.00068), => aucs:0.4919777777777779-0.4920055555555557-0.49615-0.49201666666666666-0.49904444444444457, train_times:0-0-0-0-0, test_times:0.28745818001916634-0.28789451958145945-0.2865789192612283-0.2872586662764661-0.28863086929777637, n_comp: -, -, space_sizes: |model_spaces: 861.962-862.306-861.962-861.274-862.65,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
UNB345_3|, KJL-OCSVM(linear), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-42), stats(auc: 0.4652+/-0.0352,train_time: 0.00000+/-0.00000,test_time: 0.03252+/-0.00020), => aucs:0.4560555555555557-0.5160166666666668-0.40705555555555567-0.4734333333333332-0.47348888888888896, train_times:0-0-0-0-0, test_times:0.03288318600971252-0.032436583412345496-0.03256644057109952-0.032304480473976584-0.03238885245518759, n_comp: -, -, space_sizes: |model_spaces: 158.461-158.461-158.509-158.461-158.461,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
UNB345_3|, Nystrom-OCSVM(linear), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-42), stats(auc: 0.3783+/-0.0597,train_time: 0.00000+/-0.00000,test_time: 0.03246+/-0.00020), => aucs:0.33631111111111106-0.4102499999999999-0.3052333333333334-0.4756666666666668-0.3642555555555555, train_times:0-0-0-0-0, test_times:0.032798993086908014-0.032545937329996374-0.03229936579009518-0.03241475709946826-0.032222064374946055, n_comp: -, -, space_sizes: |model_spaces: 158.569-158.569-158.569-158.521-158.521,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
UNB345_3|, KJL-GMM(diag), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-42), stats(auc: 0.4895+/-0.2477,train_time: 0.00000+/-0.00000,test_time: 0.01698+/-0.00016), => aucs:0.35604444444444444-0.7303611111111111-0.2518666666666666-0.8426555555555556-0.26637777777777777, train_times:0-0-0-0-0, test_times:0.016888882440980524-0.017203328269533812-0.01695425675716251-0.01673457323340699-0.01710709111066535, n_comp: -, -, space_sizes: |model_spaces: 38.379-38.379-38.379-38.379-38.379,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
UNB345_3|, Nystrom-GMM(diag), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-42), stats(auc: 0.8832+/-0.0086,train_time: 0.00000+/-0.00000,test_time: 0.01682+/-0.00009), => aucs:0.8996444444444445-0.8828722222222222-0.8751500000000002-0.8786333333333335-0.8798444444444445, train_times:0-0-0-0-0, test_times:0.016815721394959838-0.016876384674105793-0.016923067800235003-0.016666800796519964-0.016835633444134145, n_comp: -, -, space_sizes: |model_spaces: 38.391-38.391-38.391-38.391-38.391,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
UNB345_3|, KJL-QS-GMM(diag), X_train, X_test, auc, train, test, => aucs:, train_times:, test_times:, n_comp:, , space_sizes: |model_spaces: ,tot_clusters:, ,n_clusters: , , with params: : 
UNB345_3|, Nystrom-QS-GMM(diag), X_train, X_test, auc, train, test, => aucs:, train_times:, test_times:, n_comp:, , space_sizes: |model_spaces: ,tot_clusters:, ,n_clusters: , , with params: : 
UNB345_3|, KJL-QS-init_GMM(diag), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-42), stats(auc: 0.8671+/-0.0201,train_time: 0.00000+/-0.00000,test_time: 0.01910+/-0.00009), => aucs:0.8591277777777779-0.859711111111111-0.8568000000000001-0.8530333333333331-0.9069666666666667, train_times:0-0-0-0-0, test_times:0.019088854757137598-0.019118501828052102-0.019230418757069857-0.018959434516727925-0.019081112777348606, n_comp: -, -, space_sizes: |model_spaces: 40.057-40.057-40.057-40.057-40.057,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
UNB345_3|, Nystrom-QS-init_GMM(diag), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-42), stats(auc: 0.8806+/-0.0236,train_time: 0.00000+/-0.00000,test_time: 0.01912+/-0.00011), => aucs:0.8972777777777777-0.834561111111111-0.8830444444444444-0.8978777777777781-0.8901666666666666, train_times:0-0-0-0-0, test_times:0.019081682816613467-0.019232244172599167-0.019249625131487848-0.018969438120257108-0.019054390070959926, n_comp: -, -, space_sizes: |model_spaces: 40.069-40.069-40.069-40.069-40.069,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
CTU1|, OCSVM(rbf), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-30), stats(auc: 0.3313+/-0.0021,train_time: 0.00000+/-0.00000,test_time: 0.30613+/-0.00058), => aucs:0.3304555555555556-0.3310444444444444-0.33481111111111106-0.33186666666666664-0.3282, train_times:0-0-0-0-0, test_times:0.3059514183900319-0.3068622677703388-0.3067430667462759-0.3057079139747657-0.30537073832238093, n_comp: -, -, space_sizes: |model_spaces: 621.082-621.082-621.578-621.33-622.074,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
CTU1|, KJL-OCSVM(linear), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-30), stats(auc: 0.3746+/-0.0201,train_time: 0.00000+/-0.00000,test_time: 0.03266+/-0.00017), => aucs:0.3694666666666667-0.38468888888888875-0.4083444444444444-0.3528666666666666-0.3576777777777778, train_times:0-0-0-0-0, test_times:0.03290002858266235-0.03248853281838819-0.03284312295727432-0.032500702701508996-0.03258621043059975, n_comp: -, -, space_sizes: |model_spaces: 148.909-148.909-148.957-148.909-148.909,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
