Namespace(dataset='MACCDC1', feat='iat_size', gs='True', header='False', model='Nystrom-GMM(full)', time='2021-04-05 17:58:52')
***MACCDC1, Nystrom-GMM(full), iat_size, speedup/data/models/src_dst/iat_size-header_False/MACCDC1/before_proj_False-gs_True/Nystrom-GMM(full)-std_False_center_False-d_5-full
***0_th repeat
Total test time: 0.02216447633691132 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01554045220836997, model_test_time: 0.00662402412854135
Total test time: 0.020297449082136154 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013884419109672308, model_test_time: 0.006413029972463846
Total test time: 0.02027942705899477 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013860563980415463, model_test_time: 0.006418863078579307
Total test time: 0.020186510169878602 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013766345102339983, model_test_time: 0.006420165067538619
Total test time: 0.020389847923070192 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013871710980311036, model_test_time: 0.006518136942759156
Total test time: 0.020376723259687424 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013846971094608307, model_test_time: 0.006529752165079117
Total test time: 0.0202189062256366 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013791397213935852, model_test_time: 0.006427509011700749
Total test time: 0.020325209014117718 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0138564498629421, model_test_time: 0.006468759151175618
Total test time: 0.020156142069026828 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013816656079143286, model_test_time: 0.006339485989883542
Total test time: 0.020273283123970032 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013796189101412892, model_test_time: 0.006477094022557139
Total test time: 0.02032156498171389 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013900879072025418, model_test_time: 0.006420685909688473
Total test time: 0.02028843853622675 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013835043413564563, model_test_time: 0.006453395122662187
Total test time: 0.020292710280045867 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013867388246580958, model_test_time: 0.006425322033464909
Total test time: 0.020256562158465385 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013822178123518825, model_test_time: 0.006434384034946561
Total test time: 0.020240936195477843 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01384822023101151, model_test_time: 0.006392715964466333
Total test time: 0.020327189937233925 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013792074052616954, model_test_time: 0.006535115884616971
Total test time: 0.02033515926450491 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01391020230948925, model_test_time: 0.006424956955015659
Total test time: 0.020336929010227323 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013961243210360408, model_test_time: 0.006375685799866915
Total test time: 0.024875222938135266 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.018496204866096377, model_test_time: 0.006379018072038889
Total test time: 0.020237552002072334 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013816969003528357, model_test_time: 0.006420582998543978
***1_th repeat
Total test time: 0.02163732796907425 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01388686802238226, model_test_time: 0.00775045994669199
Total test time: 0.021155180176720023 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013848742237314582, model_test_time: 0.007306437939405441
Total test time: 0.021174661349505186 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013948694104328752, model_test_time: 0.0072259672451764345
