Namespace(dataset='DWSHR_WSHR_2020', feat='iat_size', gs='False', header='False', model='OCSVM(rbf)', time='2021-04-05 18:51:30')
***DWSHR_WSHR_2020, OCSVM(rbf), iat_size, speedup/data/models/src_dst/iat_size-header_False/DWSHR_WSHR_2020/before_proj_False-gs_False/OCSVM(rbf)-std_False_center_False-d_5-None
***0_th repeat
Total test time: 0.2905894771683961 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.094109266996384e-06, model_test_time: 0.2905833830591291
Total test time: 0.2905310890637338 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.145099177956581e-06, model_test_time: 0.29052494396455586
Total test time: 0.29096292215399444 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.145099177956581e-06, model_test_time: 0.2909567770548165
Total test time: 0.29109000880271196 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.248941645026207e-06, model_test_time: 0.29108375986106694
Total test time: 0.29146788362413645 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 5.936715751886368e-06, model_test_time: 0.29146194690838456
Total test time: 0.2906707285437733 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 5.989335477352142e-06, model_test_time: 0.29066473920829594
Total test time: 0.2909444326069206 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.561633199453354e-06, model_test_time: 0.29093787097372115
Total test time: 0.29090818110853434 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.092246621847153e-06, model_test_time: 0.2909020888619125
Total test time: 0.2905661961995065 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.095273420214653e-06, model_test_time: 0.2905601009260863
Total test time: 0.29070906178094447 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.353948265314102e-06, model_test_time: 0.29070270783267915
Total test time: 0.29120402387343347 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 5.936715751886368e-06, model_test_time: 0.2911980871576816
Total test time: 0.2956878924742341 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.407266482710838e-06, model_test_time: 0.2956814852077514
Total test time: 0.2907568251248449 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.09387643635273e-06, model_test_time: 0.29075073124840856
Total test time: 0.2911236046347767 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.030786946415901e-06, model_test_time: 0.2911165738478303
Total test time: 0.29119308618828654 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.147194653749466e-06, model_test_time: 0.2911869389936328
Total test time: 0.29152345890179276 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 5.625886842608452e-06, model_test_time: 0.29151783301495016
Total test time: 0.29267875012010336 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.144866347312927e-06, model_test_time: 0.29267260525375605
Total test time: 0.29076604498550296 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 5.938112735748291e-06, model_test_time: 0.2907601068727672
***3_th repeat
Total test time: 0.2913859039545059 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 5.834037438035011e-06, model_test_time: 0.2913800699170679
Total test time: 0.29098625597544014 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.197020411491394e-06, model_test_time: 0.29098005895502865
Total test time: 0.2915871061850339 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 5.781184881925583e-06, model_test_time: 0.291581325000152
Total test time: 0.29087547259405255 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.09387643635273e-06, model_test_time: 0.2908693787176162
Total test time: 0.29104214371182024 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.354879587888718e-06, model_test_time: 0.29103578883223236
Total test time: 0.2909500061068684 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.2498729676008224e-06, model_test_time: 0.2909437562339008
Total test time: 0.29120334703475237 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.1979517340660095e-06, model_test_time: 0.2911971490830183
Total test time: 0.291130636818707 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.302725523710251e-06, model_test_time: 0.2911243340931833
Total test time: 0.29098578658886254 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.248708814382553e-06, model_test_time: 0.29097953788004816
Total test time: 0.2911252207122743 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.094807758927345e-06, model_test_time: 0.2911191259045154
Total test time: 0.29110141727142036 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.667105481028557e-06, model_test_time: 0.29109475016593933
Total test time: 0.29100677906535566 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.042188033461571e-06, model_test_time: 0.2910007368773222
Total test time: 0.29149012523703277 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.6140200942754745e-06, model_test_time: 0.2914835112169385
Total test time: 0.2936242972500622 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.668036803603172e-06, model_test_time: 0.2936176292132586
Total test time: 0.2910323014948517 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.772344931960106e-06, model_test_time: 0.29102552914991975
Total test time: 0.29107600077986717 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.042886525392532e-06, model_test_time: 0.2910699578933418
Total test time: 0.291157562751323 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.144866347312927e-06, model_test_time: 0.29115141788497567
Total test time: 0.2911428236402571 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 5.937879905104637e-06, model_test_time: 0.291136885760352
Total test time: 0.2912694418337196 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.145797669887543e-06, model_test_time: 0.2912632960360497
Total test time: 0.29089469322934747 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 5.729030817747116e-06, model_test_time: 0.2908889641985297
***4_th repeat
Total test time: 0.29053614125587046 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.041256710886955e-06, model_test_time: 0.2905300999991596
Total test time: 0.2908219813834876 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 5.676643922924995e-06, model_test_time: 0.29081630473956466
Total test time: 0.2908629726152867 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 5.624955520033836e-06, model_test_time: 0.2908573476597667
Total test time: 0.2908284931909293 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.303191184997559e-06, model_test_time: 0.2908221899997443
Total test time: 0.29084573360159993 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.302259862422943e-06, model_test_time: 0.2908394313417375
Total test time: 0.2908000547904521 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 5.884794518351555e-06, model_test_time: 0.29079416999593377
Total test time: 0.2908391181845218 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.042188033461571e-06, model_test_time: 0.29083307599648833
Total test time: 0.29079052340239286 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.094109266996384e-06, model_test_time: 0.29078442929312587
Total test time: 0.290999592281878 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 5.93927688896656e-06, model_test_time: 0.29099365300498903
Total test time: 0.2906891140155494 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.146030500531197e-06, model_test_time: 0.2906829679850489
Total test time: 0.2908043791539967 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.71902671456337e-06, model_test_time: 0.29079766012728214
Total test time: 0.29074552282691 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 5.782116204500198e-06, model_test_time: 0.2907397407107055
Total test time: 0.29094104934483767 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.1462633311748505e-06, model_test_time: 0.2909349030815065
Total test time: 0.2910755849443376 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 5.990965291857719e-06, model_test_time: 0.29106959397904575
Total test time: 0.29073286708444357 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.4070336520671844e-06, model_test_time: 0.2907264600507915
Total test time: 0.290864743757993 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.2498729676008224e-06, model_test_time: 0.2908584938850254
Total test time: 0.29087922209873796 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 5.728099495172501e-06, model_test_time: 0.2908734939992428
Total test time: 0.29085458884947 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.043119356036186e-06, model_test_time: 0.290848545730114
Total test time: 0.29156309412792325 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.040092557668686e-06, model_test_time: 0.2915570540353656
Total test time: 0.2907533338293433 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.2498729676008224e-06, model_test_time: 0.2907470839563757
speedup/out/models_res/src_dst/iat_size-header_False/DWSHR_WSHR_2020/before_proj_False-gs_False/OCSVM(rbf)-std_False_center_False-d_5-None/DWSHR_WSHR_2020-OCSVM(rbf).dat
