Namespace(dataset='MAWI1_2020', feat='iat_size', gs='True', header='False', model='OCSVM(rbf)', time='2021-04-05 17:41:43')
***MAWI1_2020, OCSVM(rbf), iat_size, speedup/data/models/src_dst/iat_size-header_False/MAWI1_2020/before_proj_False-gs_True/OCSVM(rbf)-std_False_center_False-d_5-None
***0_th repeat
Total test time: 0.4868385116569698 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.509013473987579e-06, model_test_time: 0.4868320026434958
Total test time: 0.4860937532503158 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.041023880243301e-06, model_test_time: 0.48608771222643554
Total test time: 0.48537415103055537 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.406102329492569e-06, model_test_time: 0.4853677449282259
Total test time: 0.484664497198537 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.4070336520671844e-06, model_test_time: 0.4846580901648849
Total test time: 0.48546873801387846 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.511108949780464e-06, model_test_time: 0.4854622269049287
Total test time: 0.4852243571076542 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.146961823105812e-06, model_test_time: 0.4852182101458311
Total test time: 0.48576259962283075 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.406800821423531e-06, model_test_time: 0.4857561928220093
Total test time: 0.4854636339005083 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.563030183315277e-06, model_test_time: 0.48545707087032497
Total test time: 0.48531941091641784 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.251037120819092e-06, model_test_time: 0.485313159879297
Total test time: 0.4855951990466565 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.510177627205849e-06, model_test_time: 0.4855886888690293
Total test time: 0.4868420048151165 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.354879587888718e-06, model_test_time: 0.48683564993552864
