CTU1|, Nystrom-OCSVM(linear), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-23), iat_size(auc: 0.4438+/-0.0916,train_time: 0.00000+/-0.00000,test_time: 0.03196+/-0.00010), => aucs:0.47204444444444443-0.39222777777777773-0.6082944444444445-0.3460388888888889-0.4002777777777776, train_times:0-0-0-0-0, test_times:0.032031417556572704-0.03203514628112316-0.03194133404176682-0.03176618883153424-0.03202510190894827, n_comp: -, -, space_sizes: |model_spaces: 143.465-143.369-143.369-143.369-143.417,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
CTU1|, KJL-GMM(full), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-23), iat_size(auc: 0.3785+/-0.0373,train_time: 0.00000+/-0.00000,test_time: 0.01633+/-0.00026), => aucs:0.38197222222222216-0.38341111111111115-0.3127333333333333-0.3856777777777777-0.4288777777777778, train_times:0-0-0-0-0, test_times:0.01668607972096652-0.016523710347246378-0.016051864612381905-0.01635288040852174-0.016029520123265684, n_comp: -, -, space_sizes: |model_spaces: 23.341-23.341-23.341-23.341-23.341,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
CTU1|, Nystrom-GMM(full), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-23), iat_size(auc: 0.3681+/-0.0252,train_time: 0.00000+/-0.00000,test_time: 0.01627+/-0.00006), => aucs:0.37912777777777773-0.3711944444444445-0.3192611111111112-0.39081111111111105-0.38018333333333326, train_times:0-0-0-0-0, test_times:0.016274669801350682-0.016277886275202037-0.016358924703672527-0.016175422305241226-0.016260067699477077, n_comp: -, -, space_sizes: |model_spaces: 23.353-23.353-23.353-23.353-23.353,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
CTU1|, KJL-QS-GMM(full), X_train, X_test, auc, train, test, => aucs:, train_times:, test_times:, n_comp:, , space_sizes: |model_spaces: ,tot_clusters:, ,n_clusters: , , with params: : 
CTU1|, Nystrom-QS-GMM(full), X_train, X_test, auc, train, test, => aucs:, train_times:, test_times:, n_comp:, , space_sizes: |model_spaces: ,tot_clusters:, ,n_clusters: , , with params: : 
CTU1|, KJL-QS-init_GMM(full), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-23), iat_size(auc: 0.6706+/-0.0135,train_time: 0.00000+/-0.00000,test_time: 0.02068+/-0.00096), => aucs:0.6789555555555554-0.6831111111111112-0.6660777777777779-0.6461000000000001-0.6786777777777779, train_times:0-0-0-0-0, test_times:0.021451383398380132-0.019000536808744074-0.02175398755352944-0.0206304028746672-0.02058822214603424, n_comp: -, -, space_sizes: |model_spaces: 26.323-24.835-26.571-25.827-25.579,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
CTU1|, Nystrom-QS-init_GMM(full), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-23), iat_size(auc: 0.7255+/-0.0413,train_time: 0.00000+/-0.00000,test_time: 0.02225+/-0.00057), => aucs:0.6954277777777775-0.7253388888888888-0.8053333333333332-0.6980888888888888-0.7030777777777779, train_times:0-0-0-0-0, test_times:0.02275648555951193-0.02264096949947998-0.022721036744769663-0.02169308449374512-0.021427588642109186, n_comp: -, -, space_sizes: |model_spaces: 27.079-27.079-27.079-26.583-26.335,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
MAWI1_2020|, OCSVM(rbf), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-121), iat_size(auc: 0.9856+/-0.0020,train_time: 0.00000+/-0.00000,test_time: 0.44001+/-0.00071), => aucs:0.9866666666666669-0.9866666666666669-0.9866666666666669-0.9865-0.9815333333333335, train_times:0-0-0-0-0, test_times:0.4398483363329433-0.44080660423496737-0.43896510713966563-0.4396219683461823-0.44079027518164365, n_comp: -, -, space_sizes: |model_spaces: 2446.442-2449.37-2446.442-2447.418-2447.418,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
MAWI1_2020|, KJL-OCSVM(linear), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-121), iat_size(auc: 0.8080+/-0.0049,train_time: 0.00000+/-0.00000,test_time: 0.03866+/-0.00018), => aucs:0.8033333333333333-0.8166666666666667-0.8033333333333333-0.8083333333333333-0.8083333333333333, train_times:0-0-0-0-0, test_times:0.039010336226783696-0.0385891794343479-0.03853846665006131-0.038654962147120386-0.038510528684128076, n_comp: -, -, space_sizes: |model_spaces: 221.709-221.709-221.709-221.709-221.709,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
MAWI1_2020|, Nystrom-OCSVM(linear), X_train_shape: X_train_shape:(5000-)|(X_val_shape: ), X_test_shape: (600-121), iat_size(auc: 0.8453+/-0.0024,train_time: 0.00000+/-0.00000,test_time: 0.03871+/-0.00016), => aucs:0.8483333333333333-0.8433333333333334-0.8416666666666666-0.8466666666666669-0.8466666666666669, train_times:0-0-0-0-0, test_times:0.038983741810079665-0.03872702168300748-0.038483480911236254-0.038684903434477745-0.03866804396966472, n_comp: -, -, space_sizes: |model_spaces: 221.721-221.721-221.721-221.673-221.721,tot_clusters:0, 0,n_clusters: 0, 0, with params: {}: 
