UNB3_345,IAT+SIZE,header_False,OCSVM(rbf),tuning_False,,0_0|0_0|0_0,
UNB3_345,IAT+SIZE,header_False,OCSVM(rbf),tuning_True,,0_0|0_0|0_0,
UNB3_345,IAT+SIZE,header_False,KDE,tuning_False,,0_0|0_0|0_0,
UNB3_345,IAT+SIZE,header_False,KDE,tuning_True,,0_0|0_0|0_0,
UNB3_345,IAT+SIZE,header_False,GMM(full),tuning_False,,0_0|0_0|0_0,
UNB3_345,IAT+SIZE,header_False,GMM(full),tuning_True,,0_0|0_0|0_0,
CTU1,IAT+SIZE,header_False,OCSVM(rbf),tuning_False,IAT+SIZE,header_False,OCSVM(rbf),tuning_False,2000|1250|5000,23,0.21775|0.01412,0.00000|0.00000,0.03340|0.00235,0.57639|0.03601,0.08878|0.00123,0.56575|0.02770
CTU1,IAT+SIZE,header_False,OCSVM(rbf),tuning_True,IAT+SIZE,header_False,OCSVM(rbf),tuning_True,2000|1250|5000,23,0.20986|0.01658,0.00000|0.00000,0.02711|0.00800,0.70005|0.03747,0.09593|0.01133,0.68044|0.03800
CTU1,IAT+SIZE,header_False,KDE,tuning_False,IAT+SIZE,header_False,KDE,tuning_False,2000|1250|5000,23,0.00163|0.00002,0.00000|0.00000,0.25109|0.00711,0.45442|0.01116,0.97282|0.01471,0.45345|0.00016
CTU1,IAT+SIZE,header_False,KDE,tuning_True,IAT+SIZE,header_False,KDE,tuning_True,2000|1250|5000,23,0.00186|0.00037,0.00000|0.00000,0.22137|0.00596,0.48910|0.01373,0.85872|0.02873,0.48971|0.00201
CTU1,IAT+SIZE,header_False,GMM(full),tuning_False,IAT+SIZE,header_False,GMM(full),tuning_False,2000|1250|5000,23,0.00928|0.00467,0.00000|0.00000,0.00095|0.00071,0.71701|0.02636,0.00130|0.00025,0.72333|0.01859
CTU1,IAT+SIZE,header_False,GMM(full),tuning_True,IAT+SIZE,header_False,GMM(full),tuning_True,2000|1250|5000,23,0.03914|0.02310,0.00000|0.00000,0.00167|0.00103,0.77915|0.02849,0.00611|0.00449,0.78700|0.02904
MAWI1_2020,IAT+SIZE,header_False,OCSVM(rbf),tuning_False,IAT+SIZE,header_False,OCSVM(rbf),tuning_False,2000|1040|4160,121,0.82515|0.28182,0.00000|0.00000,0.04092|0.00774,0.97105|0.00511,0.12353|0.02697,0.97018|0.00057
MAWI1_2020,IAT+SIZE,header_False,OCSVM(rbf),tuning_True,IAT+SIZE,header_False,OCSVM(rbf),tuning_True,2000|1040|4160,121,0.62571|0.05271,0.00000|0.00000,0.02585|0.00638,0.99146|0.00305,0.11252|0.01449,0.99279|0.00099
MAWI1_2020,IAT+SIZE,header_False,KDE,tuning_False,IAT+SIZE,header_False,KDE,tuning_False,2000|1040|4160,121,0.00917|0.00144,0.00000|0.00000,0.35055|0.00800,0.99363|0.00323,1.46365|0.03629,0.99534|0.00137
MAWI1_2020,IAT+SIZE,header_False,KDE,tuning_True,IAT+SIZE,header_False,KDE,tuning_True,2000|1040|4160,121,0.00972|0.00140,0.00000|0.00000,0.51171|0.19042,0.99507|0.00216,2.05938|0.75605,0.99565|0.00102
MAWI1_2020,IAT+SIZE,header_False,GMM(full),tuning_False,IAT+SIZE,header_False,GMM(full),tuning_False,2000|1040|4160,121,0.11051|0.04674,0.00000|0.00000,0.00447|0.00231,0.94483|0.00948,0.01693|0.00508,0.94502|0.01032
MAWI1_2020,IAT+SIZE,header_False,GMM(full),tuning_True,IAT+SIZE,header_False,GMM(full),tuning_True,2000|1040|4160,121,0.11145|0.08148,0.00000|0.00000,0.00970|0.00746,0.96139|0.02804,0.02672|0.02385,0.96177|0.02789
MACCDC1,IAT+SIZE,header_False,OCSVM(rbf),tuning_False,IAT+SIZE,header_False,OCSVM(rbf),tuning_False,2000|1250|5000,25,0.23897|0.01798,0.00000|0.00000,0.05799|0.01895,0.78188|0.02414,0.10788|0.00278,0.77941|0.02114
