Namespace(dataset='SFRIG1_2020', feat='iat_size', gs='False', header='False', model='OCSVM(rbf)', time='2021-04-01 08:35:56')
***SFRIG1_2020, OCSVM(rbf), iat_size, speedup/data/models/src_dst/iat_size-header_False/SFRIG1_2020/before_proj_False-gs_False/OCSVM(rbf)-std_False_center_False-d_5-None
***0_th repeat
Total test time: 0.4499134311918169 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 8.739996701478958e-06, model_test_time: 0.44990469119511545
Total test time: 0.4750496339984238 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.260117515921593e-06, model_test_time: 0.4750433738809079
Total test time: 0.47639017715118825 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.20400533080101e-06, model_test_time: 0.47638397314585745
Total test time: 0.5065180000383407 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.424961611628532e-06, model_test_time: 0.5065115750767291
Total test time: 0.5053414748981595 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.111804395914078e-06, model_test_time: 0.5053353630937636
Total test time: 0.44472320191562176 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.462913006544113e-06, model_test_time: 0.4447167390026152
Total test time: 0.5096015406306833 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.295973435044289e-06, model_test_time: 0.5095952446572483
Total test time: 0.5003600367344916 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.443843737244606e-06, model_test_time: 0.5003505928907543
Total test time: 0.4755461048334837 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.8140216171741486e-06, model_test_time: 0.4755392908118665
Total test time: 0.4500735034234822 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.31529837846756e-06, model_test_time: 0.4500671881251037
Total test time: 0.4931070429738611 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 8.832896128296852e-06, model_test_time: 0.4930982100777328
Total test time: 0.4760961302090436 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.44405372440815e-06, model_test_time: 0.4760896861553192
Total test time: 0.476148925954476 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.241258233785629e-06, model_test_time: 0.4761426846962422
Total test time: 0.4741293441038579 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.351154297590256e-06, model_test_time: 0.4741229929495603
Total test time: 0.47868234710767865 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.03614205121994e-06, model_test_time: 0.47867531096562743
Total test time: 0.4757711780257523 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.4079649746418e-06, model_test_time: 0.47576477006077766
Total test time: 0.4715290358290076 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.258953362703323e-06, model_test_time: 0.4715227768756449
Total test time: 0.4741664379835129 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.388872861862183e-06, model_test_time: 0.474160049110651
***3_th repeat
Total test time: 0.4449193321634084 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.370944902300835e-06, model_test_time: 0.4449129612185061
Total test time: 0.5052290176972747 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.553716957569122e-06, model_test_time: 0.5052224639803171
Total test time: 0.4763638316653669 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.352784112095833e-06, model_test_time: 0.4763574788812548
Total test time: 0.5206351189408451 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 5.9998128563165665e-06, model_test_time: 0.5206291191279888
Total test time: 0.48386598797515035 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.074108675122261e-06, model_test_time: 0.4838569138664752
Total test time: 0.4733254029415548 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.017981261014938e-06, model_test_time: 0.47331838496029377
Total test time: 0.47423019725829363 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.370013579726219e-06, model_test_time: 0.4742238272447139
Total test time: 0.5034088243264705 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.5551139414310455e-06, model_test_time: 0.5034022692125291
Total test time: 0.44369315914809704 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.259186193346977e-06, model_test_time: 0.4436868999619037
Total test time: 0.506643284810707 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.20400533080101e-06, model_test_time: 0.5066370808053762
Total test time: 0.5059934312012047 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.519025191664696e-06, model_test_time: 0.505986912176013
Total test time: 0.4740626481361687 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.315073162317276e-06, model_test_time: 0.4740553330630064
Total test time: 0.5030958692077547 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.499234586954117e-06, model_test_time: 0.5030893699731678
Total test time: 0.44758875388652086 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.092036634683609e-06, model_test_time: 0.4475796618498862
Total test time: 0.4736001219134778 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.7409127950668335e-06, model_test_time: 0.4735933810006827
Total test time: 0.5060182090383023 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.258953362703323e-06, model_test_time: 0.5060119500849396
Total test time: 0.47441893676295877 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.4999330788850784e-06, model_test_time: 0.4744124368298799
Total test time: 0.48699202900752425 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.7409127950668335e-06, model_test_time: 0.4869852880947292
Total test time: 0.4812518139369786 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.703915566205978e-06, model_test_time: 0.4812421100214124
Total test time: 0.47415314707905054 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.6659413278102875e-06, model_test_time: 0.47414648113772273
***4_th repeat
Total test time: 0.47510458808392286 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.351154297590256e-06, model_test_time: 0.4750982369296253
Total test time: 0.4542154532391578 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.241258233785629e-06, model_test_time: 0.454209211980924
Total test time: 0.4995654006488621 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 8.481787517666817e-06, model_test_time: 0.49955691886134446
Total test time: 0.45137477898970246 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 8.352100849151611e-06, model_test_time: 0.4513664268888533
Total test time: 0.4739402460400015 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 8.555129170417786e-06, model_test_time: 0.4739316909108311
Total test time: 0.4903190997429192 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.647082045674324e-06, model_test_time: 0.49031245266087353
Total test time: 0.4867833338212222 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.27806831896305e-06, model_test_time: 0.4867740557529032
Total test time: 0.5198914972133934 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 5.8889854699373245e-06, model_test_time: 0.5198856082279235
Total test time: 0.48613142338581383 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 8.981674909591675e-06, model_test_time: 0.48612244171090424
Total test time: 0.4746111216954887 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.665708497166634e-06, model_test_time: 0.4746044559869915
Total test time: 0.4448143979534507 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 5.739973857998848e-06, model_test_time: 0.4448086579795927
Total test time: 0.47443353361450136 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.3695479184389114e-06, model_test_time: 0.4744271640665829
Total test time: 0.5071494651492685 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.24009408056736e-06, model_test_time: 0.5071432250551879
Total test time: 0.46717242896556854 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.1301980167627335e-06, model_test_time: 0.4671662987675518
Total test time: 0.4752852551173419 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 8.630100637674332e-06, model_test_time: 0.4752766250167042
Total test time: 0.48366426210850477 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.352085620164871e-06, model_test_time: 0.4836579100228846
Total test time: 0.4898661710321903 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 8.814036846160889e-06, model_test_time: 0.48985735699534416
Total test time: 0.44267504499293864 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.000977009534836e-06, model_test_time: 0.4426690440159291
Total test time: 0.5060988273471594 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.019137799739838e-06, model_test_time: 0.5060928082093596
Total test time: 0.44399084569886327 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.277820259332657e-06, model_test_time: 0.44398356787860394
speedup/out/models_res/src_dst/iat_size-header_False/SFRIG1_2020/before_proj_False-gs_False/OCSVM(rbf)-std_False_center_False-d_5-None/SFRIG1_2020-OCSVM(rbf).dat
