Namespace(dataset='MACCDC1', feat='iat_size', gs='True', header='False', model='OCSVM(rbf)', time='2021-04-01 08:18:15')
***MACCDC1, OCSVM(rbf), iat_size, speedup/data/models/src_dst/iat_size-header_False/MACCDC1/before_proj_False-gs_True/OCSVM(rbf)-std_False_center_False-d_5-None
***0_th repeat
Total test time: 0.4955950288567692 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.759073585271835e-06, model_test_time: 0.49558826978318393
Total test time: 0.4743981931824237 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.926967322826385e-06, model_test_time: 0.4743882662151009
Total test time: 0.4398034249898046 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.295042112469673e-06, model_test_time: 0.43979712994769216
Total test time: 0.4385433532297611 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.650108844041824e-06, model_test_time: 0.4385367031209171
Total test time: 0.48556073382496834 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 8.962815627455711e-06, model_test_time: 0.4855517710093409
Total test time: 0.5026359690818936 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.815185770392418e-06, model_test_time: 0.5026291538961232
Total test time: 0.4375293510966003 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.6480133682489395e-06, model_test_time: 0.43752270308323205
Total test time: 0.4694361628498882 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.5551139414310455e-06, model_test_time: 0.4694296077359468
Total test time: 0.46954338531941175 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.759073585271835e-06, model_test_time: 0.4695366262458265
Total test time: 0.47203422524034977 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.0552341639995575e-06, model_test_time: 0.47202717000618577
Total test time: 0.43968657590448856 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.443820893764496e-06, model_test_time: 0.4396801320835948
Total test time: 0.43803071905858815 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.684102118015289e-06, model_test_time: 0.43802403495647013
Total test time: 0.46979883196763694 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.9069210439920425e-06, model_test_time: 0.46979192504659295
Total test time: 0.4965537206735462 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.869668141007423e-06, model_test_time: 0.4965468510054052
Total test time: 0.4710602448321879 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.53672032058239e-06, model_test_time: 0.4710537081118673
Total test time: 0.4397074971348047 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.871065124869347e-06, model_test_time: 0.43970062606967986
Total test time: 0.49675562768243253 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.462447345256805e-06, model_test_time: 0.4967491652350873
Total test time: 0.4715318528469652 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.72205351293087e-06, model_test_time: 0.47152513079345226
***3_th repeat
Total test time: 0.4391468311659992 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.073154509067535e-06, model_test_time: 0.4391407580114901
Total test time: 0.4183718541171402 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 8.685048669576645e-06, model_test_time: 0.4183631690684706
Total test time: 0.46172359911724925 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.685033440589905e-06, model_test_time: 0.46171691408380866
Total test time: 0.4187533271033317 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.647803381085396e-06, model_test_time: 0.4187436792999506
Total test time: 0.38203913578763604 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.314832717180252e-06, model_test_time: 0.38203282095491886
Total test time: 0.4455318821128458 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.018912583589554e-06, model_test_time: 0.4455248632002622
Total test time: 0.444380289176479 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.648246198892593e-06, model_test_time: 0.4443736409302801
Total test time: 0.44337350060231984 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.1087852120399475e-06, model_test_time: 0.4433663918171078
Total test time: 0.44469985784962773 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.516696885228157e-06, model_test_time: 0.4446933411527425
Total test time: 0.4138612733222544 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.4622145146131516e-06, model_test_time: 0.4138548111077398
Total test time: 0.4141017321962863 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.2033068388700485e-06, model_test_time: 0.41409552888944745
Total test time: 0.47548128315247595 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.591901183128357e-06, model_test_time: 0.4754746912512928
Total test time: 0.44429228408262134 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 5.998881533741951e-06, model_test_time: 0.4442862852010876
Total test time: 0.44243439729325473 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.408197805285454e-06, model_test_time: 0.44242798909544945
Total test time: 0.49672357575036585 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 8.906936272978783e-06, model_test_time: 0.4967146688140929
