Namespace(dataset='DWSHR_WSHR_2020', feat='stats', gs='True', header='True', model='Nystrom-QS-init_GMM(diag)', time='2021-04-01 09:09:01')
***DWSHR_WSHR_2020, Nystrom-QS-init_GMM(diag), stats, speedup/data/models/src_dst/stats-header_True/DWSHR_WSHR_2020/before_proj_False-gs_True/Nystrom-QS-init_GMM(diag)-std_False_center_False-d_5-diag
***0_th repeat
Total test time: 0.015856404090300202 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013709140941500664, model_test_time: 0.0021472631487995386
Total test time: 0.013484574155882001 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011465898947790265, model_test_time: 0.002018675208091736
Total test time: 0.013456980930641294 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011437768815085292, model_test_time: 0.0020192121155560017
Total test time: 0.013357575051486492 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01133854896761477, model_test_time: 0.0020190260838717222
Total test time: 0.013447144534438848 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011370323598384857, model_test_time: 0.0020768209360539913
Total test time: 0.014298403868451715 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011370046995580196, model_test_time: 0.002928356872871518
Total test time: 0.01854139706119895 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0157021121121943, model_test_time: 0.00283928494900465
Total test time: 0.01866543316282332 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015810889191925526, model_test_time: 0.0028545439708977938
Total test time: 0.018582858610898256 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015690167900174856, model_test_time: 0.0028926907107234
Total test time: 0.01645120675675571 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01444964180700481, model_test_time: 0.0020015649497509003
Total test time: 0.013469610130414367 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011457972228527069, model_test_time: 0.0020116379018872976
Total test time: 0.013381927041336894 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011377141112461686, model_test_time: 0.002004785928875208
Total test time: 0.01340398215688765 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011350511107593775, model_test_time: 0.0020534710492938757
Total test time: 0.01344435103237629 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011386122088879347, model_test_time: 0.0020582289434969425
Total test time: 0.013370648957788944 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011361676966771483, model_test_time: 0.002008971991017461
Total test time: 0.018616895657032728 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015765035757794976, model_test_time: 0.002851859899237752
Total test time: 0.01855361764319241 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01573136984370649, model_test_time: 0.002822247799485922
Total test time: 0.01856676791794598 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01572298281826079, model_test_time: 0.002843785099685192
Total test time: 0.0177773789037019 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01578583288937807, model_test_time: 0.0019915460143238306
Total test time: 0.0133896479383111 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011390064842998981, model_test_time: 0.0019995830953121185
***1_th repeat
Total test time: 0.013682621996849775 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011632448993623257, model_test_time: 0.0020501730032265186
Total test time: 0.013399964198470116 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011368641164153814, model_test_time: 0.0020313230343163013
Total test time: 0.013378870906308293 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011341511970385909, model_test_time: 0.0020373589359223843
Total test time: 0.013354037888348103 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011274993885308504, model_test_time: 0.0020790440030395985
Total test time: 0.013384443940594792 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011298493016511202, model_test_time: 0.0020859509240835905
