Namespace(dataset='MACCDC1', feat='stats', gs='False', header='True', model='OCSVM(rbf)', time='2021-04-01 08:28:14')
***MACCDC1, OCSVM(rbf), stats, speedup/data/models/src_dst/stats-header_True/MACCDC1/before_proj_False-gs_False/OCSVM(rbf)-std_False_center_False-d_5-None
***0_th repeat
Total test time: 0.4878125051036477 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0592164471745491e-05, model_test_time: 0.48780191293917596
Total test time: 0.5039819406811148 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.05476850271225e-06, model_test_time: 0.5039748859126121
Total test time: 0.47214009799063206 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.777940481901169e-06, model_test_time: 0.47213232005015016
Total test time: 0.5040198301430792 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.443130016326904e-06, model_test_time: 0.5040123870130628
Total test time: 0.44071672623977065 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.611233741044998e-06, model_test_time: 0.4407091150060296
Total test time: 0.4717819420620799 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.352093234658241e-06, model_test_time: 0.47177458996884525
Total test time: 0.4736868408508599 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.870839908719063e-06, model_test_time: 0.47367897001095116
Total test time: 0.49213770241476595 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.944414392113686e-06, model_test_time: 0.49212975800037384
Total test time: 0.5002818538341671 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0464107617735863e-05, model_test_time: 0.5002713897265494
Total test time: 0.4795151255093515 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.27736982703209e-06, model_test_time: 0.47950584813952446
Total test time: 0.48426015698350966 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.629161700606346e-06, model_test_time: 0.48425252782180905
Total test time: 0.4879813799634576 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0092044249176979e-05, model_test_time: 0.4879712879192084
Total test time: 0.47368760500103235 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.79610127210617e-06, model_test_time: 0.47367980889976025
Total test time: 0.5035400888882577 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.3499977588653564e-06, model_test_time: 0.5035327388904989
Total test time: 0.49719304381869733 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.702052921056747e-06, model_test_time: 0.4971833417657763
Total test time: 0.49410717585124075 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.221009582281113e-06, model_test_time: 0.4940999548416585
Total test time: 0.45911741140298545 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.011136919260025e-05, model_test_time: 0.45910730003379285
Total test time: 0.48465541121549904 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.222188964486122e-06, model_test_time: 0.48464618902653456
***3_th repeat
Total test time: 0.4775392373558134 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.667113095521927e-06, model_test_time: 0.47753157024271786
Total test time: 0.46736689284443855 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 8.016824722290039e-06, model_test_time: 0.46735887601971626
Total test time: 0.5397862431127578 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.704148396849632e-06, model_test_time: 0.539776538964361
Total test time: 0.49991252226755023 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 8.982373401522636e-06, model_test_time: 0.4999035398941487
Total test time: 0.4920347898732871 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.888783097267151e-06, model_test_time: 0.4920249010901898
Total test time: 0.465437482111156 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.203081622719765e-06, model_test_time: 0.46543027902953327
Total test time: 0.47769855288788676 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.834067896008492e-06, model_test_time: 0.47768871881999075
Total test time: 0.48020647186785936 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.961869075894356e-06, model_test_time: 0.48019950999878347
Total test time: 0.5204651288222522 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0109972208738327e-05, model_test_time: 0.5204550188500434
Total test time: 0.4813845930621028 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.555121555924416e-06, model_test_time: 0.48137703794054687
Total test time: 0.49138044007122517 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.999144822359085e-06, model_test_time: 0.4913704409264028
Total test time: 0.47348460415378213 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 8.203089237213135e-06, model_test_time: 0.4734764010645449
Total test time: 0.5002399832010269 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.83220525085926e-06, model_test_time: 0.5002301509957761
Total test time: 0.49352222331799567 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.388197213411331e-06, model_test_time: 0.49351283512078226
Total test time: 0.5056264086160809 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.70344990491867e-06, model_test_time: 0.505616705166176
Total test time: 0.4518826010171324 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0239891707897186e-05, model_test_time: 0.4518723611254245
Total test time: 0.4930683299899101 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.16607677936554e-06, model_test_time: 0.49305916391313076
Total test time: 0.4877369252499193 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.370269253849983e-06, model_test_time: 0.48772755498066545
Total test time: 0.5200109819415957 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.979797035455704e-06, model_test_time: 0.5200040021445602
Total test time: 0.4549905832391232 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0350951924920082e-05, model_test_time: 0.4549802322871983
***4_th repeat
Total test time: 0.537184989778325 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0684831067919731e-05, model_test_time: 0.537174304947257
Total test time: 0.45009996369481087 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 8.92486423254013e-06, model_test_time: 0.4500910388305783
Total test time: 0.4914391341153532 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.591924026608467e-06, model_test_time: 0.4914295421913266
Total test time: 0.4904367527924478 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.29669477045536e-06, model_test_time: 0.49042745609767735
Total test time: 0.45708240778185427 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0574935004115105e-05, model_test_time: 0.45707183284685016
Total test time: 0.48335390840657055 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0592164471745491e-05, model_test_time: 0.4833433162420988
Total test time: 0.47255430510267615 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.75814987719059e-06, model_test_time: 0.47254654695279896
Total test time: 0.45835971157066524 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.407754987478256e-06, model_test_time: 0.45835030381567776
Total test time: 0.49131667893379927 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.313924238085747e-06, model_test_time: 0.4913073650095612
Total test time: 0.49054457107558846 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.149080142378807e-06, model_test_time: 0.4905354219954461
Total test time: 0.48863806086592376 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0035932064056396e-05, model_test_time: 0.4886280249338597
Total test time: 0.4444367219693959 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.536960765719414e-06, model_test_time: 0.44442918500863016
Total test time: 0.48684542207047343 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.998889148235321e-06, model_test_time: 0.4868384231813252
Total test time: 0.4819782830309123 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0055024176836014e-05, model_test_time: 0.48196822800673544
Total test time: 0.4784807770047337 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.536960765719414e-06, model_test_time: 0.47847324004396796
Total test time: 0.4620474399998784 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.593088179826736e-06, model_test_time: 0.4620378469116986
Total test time: 0.4980053547769785 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.110880687832832e-06, model_test_time: 0.49799824389629066
Total test time: 0.49209627928212285 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.192526780068874e-05, model_test_time: 0.49203435401432216
Total test time: 0.44806226692162454 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.387964382767677e-06, model_test_time: 0.4480528789572418
Total test time: 0.44408125383779407 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.721820682287216e-06, model_test_time: 0.4440745320171118
speedup/out/models_res/src_dst/stats-header_True/MACCDC1/before_proj_False-gs_False/OCSVM(rbf)-std_False_center_False-d_5-None/MACCDC1-OCSVM(rbf).dat
