Namespace(dataset='CTU1', feat='stats', gs='False', header='True', model='OCSVM(rbf)', time='2021-04-01 07:59:10')
***CTU1, OCSVM(rbf), stats, speedup/data/models/src_dst/stats-header_True/CTU1/before_proj_False-gs_False/OCSVM(rbf)-std_False_center_False-d_5-None
***0_th repeat
Total test time: 0.5136031962465495 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.555136784911156e-06, model_test_time: 0.5135936411097646
Total test time: 0.44000420114025474 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.925081834197044e-06, model_test_time: 0.43999727605842054
Total test time: 0.48683758545666933 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.555346772074699e-06, model_test_time: 0.48683103010989726
Total test time: 0.41357402969151735 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.09389927983284e-06, model_test_time: 0.4135649357922375
Total test time: 0.495267313439399 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.945338100194931e-06, model_test_time: 0.4952603681012988
Total test time: 0.46494990796782076 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.834045052528381e-06, model_test_time: 0.46494307392276824
Total test time: 0.5193287217989564 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.944872438907623e-06, model_test_time: 0.5193217769265175
Total test time: 0.4756283627357334 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.165843948721886e-06, model_test_time: 0.47561919689178467
Total test time: 0.5010182256810367 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.314832717180252e-06, model_test_time: 0.5010119108483195
Total test time: 0.42608599993400276 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.147900760173798e-06, model_test_time: 0.4260788520332426
Total test time: 0.47206997592002153 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.517883881926537e-06, model_test_time: 0.4720604580361396
Total test time: 0.469260832760483 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.609829142689705e-06, model_test_time: 0.46925422293134034
Total test time: 0.44204480783082545 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.7409127950668335e-06, model_test_time: 0.4420380669180304
