Namespace(dataset='CTU1', feat='iat_size', gs='False', header='False', model='OCSVM(rbf)', time='2021-04-01 07:52:47')
***CTU1, OCSVM(rbf), iat_size, speedup/data/models/src_dst/iat_size-header_False/CTU1/before_proj_False-gs_False/OCSVM(rbf)-std_False_center_False-d_5-None
***0_th repeat
Total test time: 0.46775878267362714 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.20400533080101e-06, model_test_time: 0.46775257866829634
Total test time: 0.4963184429798275 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.24009408056736e-06, model_test_time: 0.49631220288574696
Total test time: 0.4517289793584496 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 8.703209459781647e-06, model_test_time: 0.4517202761489898
Total test time: 0.47746883099898696 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.573064744472504e-06, model_test_time: 0.4774592579342425
Total test time: 0.4679773135576397 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.609596312046051e-06, model_test_time: 0.46797070396132767
Total test time: 0.4367786720395088 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.944173946976662e-06, model_test_time: 0.43677172786556184
Total test time: 0.4380175902042538 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.5551139414310455e-06, model_test_time: 0.43801103509031236
Total test time: 0.46554799703881145 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.1478931456804276e-06, model_test_time: 0.46554184914566576
Total test time: 0.49917099182493985 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.0908572524785995e-06, model_test_time: 0.49916390096768737
Total test time: 0.40653758170083165 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.701797246932983e-06, model_test_time: 0.4065308799035847
Total test time: 0.5004550027661026 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.794929504394531e-06, model_test_time: 0.5004482078365982
Total test time: 0.4680477767251432 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.499001756310463e-06, model_test_time: 0.4680412777233869
Total test time: 0.4857791173271835 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.538117304444313e-06, model_test_time: 0.48577257920987904
Total test time: 0.4753887669648975 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.888783097267151e-06, model_test_time: 0.47537887818180025
Total test time: 0.4348611952736974 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.925081834197044e-06, model_test_time: 0.4348542701918632
Total test time: 0.43683111807331443 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 5.982117727398872e-06, model_test_time: 0.43682513595558703
Total test time: 0.44853882817551494 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.166985258460045e-06, model_test_time: 0.4485326611902565
Total test time: 0.48745591496117413 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.185867384076118e-06, model_test_time: 0.48744672909379005
***3_th repeat
Total test time: 0.45437916391529143 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.295763447880745e-06, model_test_time: 0.45436986815184355
Total test time: 0.43897922011092305 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.316237315535545e-06, model_test_time: 0.4389719038736075
Total test time: 0.4689934959169477 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.943242624402046e-06, model_test_time: 0.4689865526743233
Total test time: 0.4952229692135006 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.426133379340172e-06, model_test_time: 0.4952155430801213
Total test time: 0.4503978807479143 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.499723091721535e-06, model_test_time: 0.4503883810248226
Total test time: 0.4838805100880563 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.093200787901878e-06, model_test_time: 0.4838714168872684
Total test time: 0.4575906696263701 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0277843102812767e-05, model_test_time: 0.45758039178326726
Total test time: 0.44088266137987375 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.927177309989929e-06, model_test_time: 0.44087573420256376
Total test time: 0.4580911777447909 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.018927812576294e-06, model_test_time: 0.45808215881697834
Total test time: 0.43888442520983517 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.702969014644623e-06, model_test_time: 0.4388767222408205
Total test time: 0.4689757223241031 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.759073585271835e-06, model_test_time: 0.46896896325051785
Total test time: 0.4384394350927323 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.591908797621727e-06, model_test_time: 0.4384318431839347
Total test time: 0.46963416994549334 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.834052667021751e-06, model_test_time: 0.4696263358928263
Total test time: 0.47084236494265497 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.295981049537659e-06, model_test_time: 0.47083506896160543
Total test time: 0.4394875429570675 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.963033229112625e-06, model_test_time: 0.4394805799238384
Total test time: 0.46984827728010714 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.964204996824265e-06, model_test_time: 0.4698403130751103
Total test time: 0.46862759883515537 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.961869075894356e-06, model_test_time: 0.4686206369660795
Total test time: 0.43655195902101696 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.797024980187416e-06, model_test_time: 0.43654516199603677
Total test time: 0.5004003581125289 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.129041478037834e-06, model_test_time: 0.5003932290710509
Total test time: 0.4675945295020938 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.444294169545174e-06, model_test_time: 0.46758708520792425
***4_th repeat
Total test time: 0.46690750657580793 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.073860615491867e-06, model_test_time: 0.46690043271519244
Total test time: 0.4403319691773504 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.3141570687294e-06, model_test_time: 0.4403226550202817
Total test time: 0.5012960988096893 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.425892934203148e-06, model_test_time: 0.5012896729167551
Total test time: 0.4590807119384408 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.092021405696869e-06, model_test_time: 0.4590736199170351
Total test time: 0.4436603414360434 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.0734101831913e-06, model_test_time: 0.4436512680258602
Total test time: 0.4677344160154462 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.332993507385254e-06, model_test_time: 0.4677280830219388
Total test time: 0.4941735863685608 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.426125764846802e-06, model_test_time: 0.49416716024279594
Total test time: 0.44128717202693224 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.500887244939804e-06, model_test_time: 0.4412776711396873
Total test time: 0.46755706844851375 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.297370418906212e-06, model_test_time: 0.46755077107809484
Total test time: 0.4619126326870173 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.591675966978073e-06, model_test_time: 0.46190504101105034
