Namespace(dataset='CTU1', feat='iat_size', gs='True', header='False', model='OCSVM(rbf)', time='2021-04-01 07:49:23')
***CTU1, OCSVM(rbf), iat_size, speedup/data/models/src_dst/iat_size-header_False/CTU1/before_proj_False-gs_True/OCSVM(rbf)-std_False_center_False-d_5-None
***0_th repeat
Total test time: 0.4483311241492629 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.020403578877449e-05, model_test_time: 0.44832092011347413
Total test time: 0.4211359708569944 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.685033440589905e-06, model_test_time: 0.4211292858235538
Total test time: 0.4253519349731505 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 8.980976417660713e-06, model_test_time: 0.42534295399673283
Total test time: 0.43971693818457425 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.758375093340874e-06, model_test_time: 0.4397101798094809
Total test time: 0.43465436482802033 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.963056072592735e-06, model_test_time: 0.43464440177194774
Total test time: 0.4411197048611939 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.980961188673973e-06, model_test_time: 0.4411127239000052
Total test time: 0.4081674008630216 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.610993295907974e-06, model_test_time: 0.4081607898697257
Total test time: 0.41009771008975804 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.146961823105812e-06, model_test_time: 0.41009156312793493
Total test time: 0.44994653412140906 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.538117304444313e-06, model_test_time: 0.4499399960041046
Total test time: 0.5940737437922508 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.462913006544113e-06, model_test_time: 0.5940672808792442
Total test time: 0.41414477210491896 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.072208397090435e-05, model_test_time: 0.41413405002094805
Total test time: 0.5246646725572646 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.739748641848564e-06, model_test_time: 0.5246579328086227
Total test time: 0.43464101385325193 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.925780326128006e-06, model_test_time: 0.4346340880729258
Total test time: 0.409090677741915 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.925803169608116e-06, model_test_time: 0.4090807519387454
Total test time: 0.46589626325294375 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.48202796280384e-06, model_test_time: 0.46588678122498095
Total test time: 0.47132614394649863 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.035909220576286e-06, model_test_time: 0.47131910803727806
Total test time: 0.46383680612780154 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.4999330788850784e-06, model_test_time: 0.46383030619472265
Total test time: 0.41196193010546267 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.109964594244957e-06, model_test_time: 0.4119528201408684
***3_th repeat
Total test time: 0.45640254323370755 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.890157237648964e-06, model_test_time: 0.4563956530764699
Total test time: 0.417369500733912 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.648734703660011e-06, model_test_time: 0.41735985199920833
Total test time: 0.4448871260974556 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.370021194219589e-06, model_test_time: 0.4448797560762614
Total test time: 0.4430598868057132 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.165843948721886e-06, model_test_time: 0.44305072096176445
Total test time: 0.3865797040052712 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.462935850024223e-06, model_test_time: 0.38657024106942117
Total test time: 0.38718263409100473 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.592134013772011e-06, model_test_time: 0.38717604195699096
Total test time: 0.404457313939929 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.479932487010956e-06, model_test_time: 0.404447834007442
Total test time: 0.4835074939765036 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.005595549941063e-05, model_test_time: 0.4834974380210042
Total test time: 0.4197020041756332 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.981194019317627e-06, model_test_time: 0.4196950229816139
