Namespace(dataset='CTU1', feat='iat_size', gs='False', header='False', model='KJL-GMM(diag)', time='2021-04-01 07:53:53')
***CTU1, KJL-GMM(diag), iat_size, speedup/data/models/src_dst/iat_size-header_False/CTU1/before_proj_False-gs_False/KJL-GMM(diag)-std_False_center_False-d_5-diag
***0_th repeat
Total test time: 0.015454593347385526 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013958180090412498, model_test_time: 0.0014964132569730282
Total test time: 0.013193974737077951 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011806467780843377, model_test_time: 0.0013875069562345743
Total test time: 0.013106420636177063 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011714525753632188, model_test_time: 0.0013918948825448751
Total test time: 0.013184716226533055 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01173845212906599, model_test_time: 0.0014462640974670649
Total test time: 0.016963581321761012 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.014973938232287765, model_test_time: 0.0019896430894732475
Total test time: 0.018341290997341275 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016361408168449998, model_test_time: 0.0019798828288912773
Total test time: 0.01845626998692751 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016460017068311572, model_test_time: 0.0019962529186159372
Total test time: 0.018380806781351566 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01637720176950097, model_test_time: 0.0020036050118505955
Total test time: 0.013961069053038955 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012563227908685803, model_test_time: 0.0013978411443531513
Total test time: 0.0131178661249578 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011714359046891332, model_test_time: 0.0014035070780664682
Total test time: 0.013208698248490691 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011755192186683416, model_test_time: 0.0014535060618072748
Total test time: 0.013161974493414164 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011756708612665534, model_test_time: 0.0014052658807486296
Total test time: 0.013158751651644707 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011752485763281584, model_test_time: 0.001406265888363123
Total test time: 0.014041512040421367 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.012059628032147884, model_test_time: 0.0019818840082734823
Total test time: 0.01828421698883176 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016306501114740968, model_test_time: 0.0019777158740907907
Total test time: 0.01832756702788174 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01628518500365317, model_test_time: 0.002042382024228573
Total test time: 0.018319736002013087 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016333537874743342, model_test_time: 0.001986198127269745
Total test time: 0.018283976009115577 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016295056091621518, model_test_time: 0.0019889199174940586
Total test time: 0.018250644207000732 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01628920529037714, model_test_time: 0.0019614389166235924
Total test time: 0.01830925326794386 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01632362906821072, model_test_time: 0.001985624199733138
***1_th repeat
Total test time: 0.018871873151510954 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016889860155060887, model_test_time: 0.0019820129964500666
Total test time: 0.018398992950096726 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016415498917922378, model_test_time: 0.001983494032174349
Total test time: 0.018410807941108942 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01641775807365775, model_test_time: 0.001993049867451191
Total test time: 0.01842899271287024 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01647479389794171, model_test_time: 0.0019541988149285316
Total test time: 0.01842665788717568 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016445626970380545, model_test_time: 0.0019810309167951345
Total test time: 0.014560517854988575 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.013116291025653481, model_test_time: 0.0014442268293350935
Total test time: 0.013263233006000519 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011880984995514154, model_test_time: 0.0013822480104863644
Total test time: 0.013243604451417923 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011848374269902706, model_test_time: 0.0013952301815152168
Total test time: 0.013244417263194919 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011846484150737524, model_test_time: 0.0013979331124573946
Total test time: 0.013202643021941185 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011815580073744059, model_test_time: 0.0013870629481971264
Total test time: 0.013914978131651878 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011939668096601963, model_test_time: 0.0019753100350499153
Total test time: 0.01850791508331895 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016474347794428468, model_test_time: 0.002033567288890481
Total test time: 0.018510287161916494 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016538774129003286, model_test_time: 0.001971513032913208
Total test time: 0.018560970202088356 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016602976014837623, model_test_time: 0.0019579941872507334
Total test time: 0.01672099228017032 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.015311375260353088, model_test_time: 0.001409617019817233
Total test time: 0.013235731981694698 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011844133026897907, model_test_time: 0.001391598954796791
Total test time: 0.013236100785434246 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011842853855341673, model_test_time: 0.0013932469300925732
Total test time: 0.013276527868583798 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01187603990547359, model_test_time: 0.0014004879631102085
Total test time: 0.013385192258283496 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011992815183475614, model_test_time: 0.0013923770748078823
Total test time: 0.013261789223179221 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.011861189035698771, model_test_time: 0.0014006001874804497
***2_th repeat
Total test time: 0.01821233006194234 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016265111975371838, model_test_time: 0.0019472180865705013
Total test time: 0.018624208634719253 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016653251834213734, model_test_time: 0.001970956800505519
Total test time: 0.01862534089013934 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.01659468002617359, model_test_time: 0.0020306608639657497
Total test time: 0.01852352824062109 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.016548292245715857, model_test_time: 0.0019752359949052334
