Namespace(dataset='UNB345_3', feat='stats', gs='True', header='True', model='OCSVM(rbf)', time='2021-04-01 07:42:04')
***UNB345_3, OCSVM(rbf), stats, speedup/data/models/src_dst/stats-header_True/UNB345_3/before_proj_False-gs_True/OCSVM(rbf)-std_False_center_False-d_5-None
***0_th repeat
Total test time: 0.38641597307287157 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.869210094213486e-06, model_test_time: 0.38640810386277735
Total test time: 0.4175783970858902 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.222173735499382e-06, model_test_time: 0.4175711749121547
Total test time: 0.4457275909371674 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.073860615491867e-06, model_test_time: 0.4457205170765519
Total test time: 0.41850750683806837 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.444992661476135e-06, model_test_time: 0.4185000618454069
Total test time: 0.4147687570657581 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.852205842733383e-06, model_test_time: 0.4147619048599154
Total test time: 0.4508804229553789 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.333001121878624e-06, model_test_time: 0.450873089954257
Total test time: 0.4182891962118447 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.68410973250866e-06, model_test_time: 0.4182815121021122
Total test time: 0.41961276065558195 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.05476850271225e-06, model_test_time: 0.41960570588707924
Total test time: 0.4464270768221468 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.721820682287216e-06, model_test_time: 0.4464203550014645
Total test time: 0.43122509797103703 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.314840331673622e-06, model_test_time: 0.43121778313070536
Total test time: 0.4569099040236324 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0001007467508316e-05, model_test_time: 0.4568999030161649
Total test time: 0.41531930211931467 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.519032806158066e-06, model_test_time: 0.4153117830865085
Total test time: 0.44904215075075626 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.370021194219589e-06, model_test_time: 0.44903478072956204
Total test time: 0.38578928587958217 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.0177484303712845e-06, model_test_time: 0.3857822681311518
Total test time: 0.4149644223507494 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.538124918937683e-06, model_test_time: 0.41495688422583044
Total test time: 0.4786042389459908 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.757909432053566e-06, model_test_time: 0.47859748103655875
Total test time: 0.4147489268798381 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.739981472492218e-06, model_test_time: 0.4147421868983656
Total test time: 0.40854802704416215 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.777932867407799e-06, model_test_time: 0.40854124911129475
Total test time: 0.4494131638202816 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 8.944887667894363e-06, model_test_time: 0.44940421893261373
Total test time: 0.4820358883589506 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.611226126551628e-06, model_test_time: 0.48202927713282406
***1_th repeat
Total test time: 0.41775562101975083 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.926952093839645e-06, model_test_time: 0.417747694067657
Total test time: 0.47979721589945257 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.222872227430344e-06, model_test_time: 0.47978999302722514
Total test time: 0.4782098429277539 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.092021405696869e-06, model_test_time: 0.47820275090634823
Total test time: 0.41478924290277064 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 8.425908163189888e-06, model_test_time: 0.41478081699460745
Total test time: 0.47822552896104753 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.499242201447487e-06, model_test_time: 0.4782180297188461
Total test time: 0.446686577051878 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.149064913392067e-06, model_test_time: 0.4466794279869646
Total test time: 0.4447336581069976 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.871065124869347e-06, model_test_time: 0.44472678704187274
Total test time: 0.4147195038385689 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 8.147908374667168e-06, model_test_time: 0.41471135593019426
Total test time: 0.4503044970333576 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.055001333355904e-06, model_test_time: 0.45029744203202426
Total test time: 0.4478013499174267 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.147900760173798e-06, model_test_time: 0.44779420201666653
Total test time: 0.45002830121666193 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 8.167000487446785e-06, model_test_time: 0.4500201342161745
Total test time: 0.4477193139027804 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.869900971651077e-06, model_test_time: 0.44771244400180876
Total test time: 0.4466173390392214 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.630093023180962e-06, model_test_time: 0.4466097089461982
Total test time: 0.4476400022394955 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.777932867407799e-06, model_test_time: 0.4476332243066281
Total test time: 0.47882811119779944 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.999121978878975e-06, model_test_time: 0.47882111207582057
Total test time: 0.4460237598977983 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.4249692261219025e-06, model_test_time: 0.4460163349285722
Total test time: 0.4145326029974967 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.926245987415314e-06, model_test_time: 0.4145256767515093
Total test time: 0.4484011153690517 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.611233741044998e-06, model_test_time: 0.44839350413531065
Total test time: 0.41782841784879565 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.053837180137634e-06, model_test_time: 0.4178213640116155
Total test time: 0.4191961488686502 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.056165486574173e-06, model_test_time: 0.4191890927031636
***2_th repeat
Total test time: 0.4318698509596288 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.51811671257019e-06, model_test_time: 0.43186033284291625
Total test time: 0.478959369007498 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.313909009099007e-06, model_test_time: 0.4789520550984889
Total test time: 0.4472615863196552 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.0731621235609055e-06, model_test_time: 0.4472545131575316
Total test time: 0.44922007992863655 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.85080885887146e-06, model_test_time: 0.4492132291197777
Total test time: 0.3848120938055217 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 8.33394005894661e-06, model_test_time: 0.3848037598654628
Total test time: 0.4751815090421587 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.333001121878624e-06, model_test_time: 0.47517417604103684
Total test time: 0.46997821773402393 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.296927601099014e-06, model_test_time: 0.46996892080642283
Total test time: 0.4462072958704084 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.721828296780586e-06, model_test_time: 0.44619957404211164
Total test time: 0.41575550311245024 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.610061973333359e-06, model_test_time: 0.4157488930504769
Total test time: 0.44398238440044224 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.31530599296093e-06, model_test_time: 0.4439750690944493
Total test time: 0.4172444911673665 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.556052878499031e-06, model_test_time: 0.417236935114488
Total test time: 0.47730898205190897 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.00005330145359e-06, model_test_time: 0.4773019819986075
Total test time: 0.4141108572948724 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.3891133069992065e-06, model_test_time: 0.4141034681815654
Total test time: 0.478210351197049 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.203081622719765e-06, model_test_time: 0.4782031481154263
Total test time: 0.41682662977837026 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.85081647336483e-06, model_test_time: 0.4168187789618969
Total test time: 0.4469329488929361 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.536960765719414e-06, model_test_time: 0.4469254119321704
Total test time: 0.41468486515805125 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.649185135960579e-06, model_test_time: 0.4146772159729153
Total test time: 0.44705131696537137 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.333001121878624e-06, model_test_time: 0.4470439839642495
Total test time: 0.4141943932045251 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.2410330176353455e-06, model_test_time: 0.4141871521715075
Total test time: 0.47139970608986914 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.387964382767677e-06, model_test_time: 0.4713903181254864
***3_th repeat
Total test time: 0.4176607800181955 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.888061761856079e-06, model_test_time: 0.41765389195643365
Total test time: 0.48189980909228325 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.313909009099007e-06, model_test_time: 0.48189249518327415
Total test time: 0.4500209188554436 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.480840966105461e-06, model_test_time: 0.4500144380144775
Total test time: 0.4507581458892673 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.667105481028557e-06, model_test_time: 0.4507514787837863
Total test time: 0.45310211228206754 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.481314241886139e-06, model_test_time: 0.45309463096782565
Total test time: 0.45097166090272367 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.335096597671509e-06, model_test_time: 0.450964325806126
Total test time: 0.45297650317661464 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.074093446135521e-06, model_test_time: 0.4529694290831685
Total test time: 0.41823974903672934 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.276888936758041e-06, model_test_time: 0.4182324721477926
Total test time: 0.4498932948336005 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.982823833823204e-06, model_test_time: 0.4498863120097667
Total test time: 0.4800142056774348 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.12997280061245e-06, model_test_time: 0.4800070757046342
Total test time: 0.44881670689210296 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.943941116333008e-06, model_test_time: 0.4488097629509866
Total test time: 0.451254301937297 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.814952939748764e-06, model_test_time: 0.45124748698435724
Total test time: 0.44883102318271995 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.1481335908174515e-06, model_test_time: 0.44882387504912913
Total test time: 0.48035223479382694 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.9069210439920425e-06, model_test_time: 0.48034532787278295
Total test time: 0.4477885088417679 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.425900548696518e-06, model_test_time: 0.4477810829412192
Total test time: 0.44908733293414116 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.3891133069992065e-06, model_test_time: 0.44907994382083416
Total test time: 0.45174368121661246 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.03614205121994e-06, model_test_time: 0.45173664507456124
Total test time: 0.4173268498852849 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.556743755936623e-06, model_test_time: 0.41732029314152896
Total test time: 0.4505297450814396 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.3320697993040085e-06, model_test_time: 0.4505224130116403
Total test time: 0.4517690520733595 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.074093446135521e-06, model_test_time: 0.45176197797991335
***4_th repeat
Total test time: 0.4497870209161192 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.5909774750471115e-06, model_test_time: 0.44977942993864417
Total test time: 0.4172906461171806 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.777932867407799e-06, model_test_time: 0.4172838681843132
Total test time: 0.4486968235578388 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.202615961432457e-06, model_test_time: 0.44868962094187737
Total test time: 0.4478397876955569 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.943941116333008e-06, model_test_time: 0.44783284375444055
Total test time: 0.48141112294979393 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.480848580598831e-06, model_test_time: 0.48140364210121334
Total test time: 0.44284039782360196 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.517861038446426e-06, model_test_time: 0.4428338799625635
Total test time: 0.4505769149400294 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.925803169608116e-06, model_test_time: 0.4505669891368598
Total test time: 0.4498719477560371 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.017981261014938e-06, model_test_time: 0.4498649297747761
Total test time: 0.4170575407333672 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.665708497166634e-06, model_test_time: 0.41705087502487004
Total test time: 0.4516404091846198 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.981194019317627e-06, model_test_time: 0.45163342799060047
Total test time: 0.416958357905969 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.462920621037483e-06, model_test_time: 0.416950894985348
Total test time: 0.4816513427067548 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.5928401201963425e-06, model_test_time: 0.4816437498666346
Total test time: 0.4523930980358273 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.611000910401344e-06, model_test_time: 0.4523854870349169
Total test time: 0.4496046232525259 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.704133167862892e-06, model_test_time: 0.44959691911935806
Total test time: 0.4814422538038343 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.868736818432808e-06, model_test_time: 0.4814353850670159
Total test time: 0.4829320178832859 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.6659413278102875e-06, model_test_time: 0.48292535194195807
Total test time: 0.43670403747819364 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.760237738490105e-06, model_test_time: 0.43669727724045515
Total test time: 0.4562484947964549 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.202864021062851e-06, model_test_time: 0.45623929193243384
Total test time: 0.451324752997607 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 8.462928235530853e-06, model_test_time: 0.45131629006937146
Total test time: 0.4172432057093829 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.869900971651077e-06, model_test_time: 0.41723633580841124
speedup/out/models_res/src_dst/stats-header_True/UNB345_3/before_proj_False-gs_True/OCSVM(rbf)-std_False_center_False-d_5-None/UNB345_3-OCSVM(rbf).dat
