Namespace(dataset='SFRIG1_2020', feat='stats', gs='False', header='True', model='OCSVM(rbf)', time='2021-04-01 08:42:31')
***SFRIG1_2020, OCSVM(rbf), stats, speedup/data/models/src_dst/stats-header_True/SFRIG1_2020/before_proj_False-gs_False/OCSVM(rbf)-std_False_center_False-d_5-None
***0_th repeat
Total test time: 0.46165970247238874 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.946292266249657e-06, model_test_time: 0.4616497561801225
Total test time: 0.46781913191080093 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.81472772359848e-06, model_test_time: 0.46781131718307734
Total test time: 0.5012934480328113 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.777940481901169e-06, model_test_time: 0.5012856700923294
Total test time: 0.5123135442845523 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.945345714688301e-06, model_test_time: 0.5123055989388376
Total test time: 0.47976813395507634 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.704148396849632e-06, model_test_time: 0.4797584298066795
Total test time: 0.43677568691782653 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.943948730826378e-06, model_test_time: 0.4367677429690957
Total test time: 0.5238302026409656 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 8.333707228302956e-06, model_test_time: 0.5238218689337373
Total test time: 0.4490312160924077 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0388204827904701e-05, model_test_time: 0.4490208278875798
Total test time: 0.454855527728796 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0851770639419556e-05, model_test_time: 0.4548446759581566
Total test time: 0.4445376561488956 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.1302056312561035e-06, model_test_time: 0.44453052594326437
Total test time: 0.48707259190268815 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0516960173845291e-05, model_test_time: 0.4870620749425143
Total test time: 0.44077220605686307 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.03614205121994e-06, model_test_time: 0.44076516991481185
Total test time: 0.47181744826957583 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 8.167233318090439e-06, model_test_time: 0.47180928103625774
Total test time: 0.5013572608586401 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.554888725280762e-06, model_test_time: 0.5013497059699148
Total test time: 0.46503523690626025 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.259892299771309e-06, model_test_time: 0.4650279770139605
Total test time: 0.4958298548590392 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.012999564409256e-05, model_test_time: 0.4958197248633951
Total test time: 0.4971787300892174 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.630108252167702e-06, model_test_time: 0.49716909998096526
Total test time: 0.48595947306603193 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.315073162317276e-06, model_test_time: 0.4859521579928696
***3_th repeat
Total test time: 0.5011134538799524 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.777722880244255e-06, model_test_time: 0.5011036761570722
Total test time: 0.4705979961436242 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 8.259201422333717e-06, model_test_time: 0.47058973694220185
Total test time: 0.4700777300167829 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.943948730826378e-06, model_test_time: 0.47006978606805205
Total test time: 0.4896999776829034 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 8.907867595553398e-06, model_test_time: 0.48969106981530786
Total test time: 0.5254766461439431 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.850133210420609e-06, model_test_time: 0.5254667960107327
Total test time: 0.4371270891278982 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.00005330145359e-06, model_test_time: 0.43712008907459676
Total test time: 0.47108446690253913 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.258960977196693e-06, model_test_time: 0.47107720794156194
Total test time: 0.4662310427520424 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.166992872953415e-06, model_test_time: 0.46622387575916946
Total test time: 0.4714918837416917 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 8.925795555114746e-06, model_test_time: 0.4714829579461366
Total test time: 0.47942029288969934 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.166992872953415e-06, model_test_time: 0.4794131258968264
Total test time: 0.4872961100190878 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.667128324508667e-06, model_test_time: 0.4872864428907633
Total test time: 0.5165957801509649 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0536052286624908e-05, model_test_time: 0.5165852440986782
Total test time: 0.47180897067300975 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.278984412550926e-06, model_test_time: 0.4718016916885972
Total test time: 0.4693312488961965 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.6659413278102875e-06, model_test_time: 0.4693245829548687
Total test time: 0.470381225226447 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.258960977196693e-06, model_test_time: 0.4703739662654698
Total test time: 0.4295923018362373 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.443828508257866e-06, model_test_time: 0.42958485800772905
Total test time: 0.4995995657518506 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.573763236403465e-06, model_test_time: 0.4995899919886142
Total test time: 0.48172903596423566 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.92601315677166e-06, model_test_time: 0.4817221099510789
Total test time: 0.44569031894207 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0259915143251419e-05, model_test_time: 0.44568005902692676
Total test time: 0.4382971751037985 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.833113729953766e-06, model_test_time: 0.43829034199006855
***4_th repeat
Total test time: 0.4688172999303788 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.074093446135521e-06, model_test_time: 0.46881022583693266
Total test time: 0.5056762029416859 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.647788152098656e-06, model_test_time: 0.5056685551535338
Total test time: 0.5198946150485426 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0666903108358383e-05, model_test_time: 0.5198839481454343
Total test time: 0.4396320697851479 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.461989298462868e-06, model_test_time: 0.43962460779584944
Total test time: 0.5293900421820581 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.166992872953415e-06, model_test_time: 0.5293828751891851
Total test time: 0.492405251134187 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.027621328830719e-05, model_test_time: 0.4923949749208987
Total test time: 0.4698576279915869 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.981201633810997e-06, model_test_time: 0.4698496467899531
