Namespace(dataset='MACCDC1', feat='stats', gs='True', header='True', model='KJL-GMM(diag)', time='2021-04-01 01:55:59')
***MACCDC1, KJL-GMM(diag), stats, speedup/data/models/src_dst/stats-header_True/MACCDC1/before_proj_False-gs_True/KJL-GMM(diag)-std_False_center_False-d_5-diag
***0_th repeat
Total test time: 0.005409308942034841 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.004682475933805108, model_test_time: 0.0007268330082297325
Total test time: 0.008227504091337323 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0071783470921218395, model_test_time: 0.0010491569992154837
Total test time: 0.0018097697757184505 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0012997519224882126, model_test_time: 0.000510017853230238
Total test time: 0.0014035687781870365 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0009903330355882645, model_test_time: 0.00041323574259877205
Total test time: 0.002144897123798728 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0012368701864033937, model_test_time: 0.0009080269373953342
Total test time: 0.003122408874332905 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.002425944898277521, model_test_time: 0.0006964639760553837
Total test time: 0.0022300228010863066 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0015360719989985228, model_test_time: 0.0006939508020877838
Total test time: 0.001794598763808608 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0012518549337983131, model_test_time: 0.0005427438300102949
Total test time: 0.003333051223307848 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0024391859769821167, model_test_time: 0.0008938652463257313
Total test time: 0.004860379965975881 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.004171879030764103, model_test_time: 0.0006885009352117777
Total test time: 0.002131878398358822 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.001346672186627984, model_test_time: 0.0007852062117308378
Total test time: 0.002191819716244936 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.00143462885171175, model_test_time: 0.000757190864533186
Total test time: 0.0026341418270021677 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0018716268241405487, model_test_time: 0.000762515002861619
Total test time: 0.001390292076393962 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.000987038016319275, model_test_time: 0.000403254060074687
Total test time: 0.0012888642959296703 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0008988792542368174, model_test_time: 0.000389985041692853
Total test time: 0.004891583928838372 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.004106495063751936, model_test_time: 0.0007850888650864363
Total test time: 0.0015629774425178766 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0009896482806652784, model_test_time: 0.0005733291618525982
Total test time: 0.001672486774623394 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0012283928226679564, model_test_time: 0.00044409395195543766
Total test time: 0.002238892950117588 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0014439239166676998, model_test_time: 0.0007949690334498882
Total test time: 0.0026490490417927504 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0015780699905008078, model_test_time: 0.0010709790512919426
***1_th repeat
Total test time: 0.002099287696182728 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0013986940030008554, model_test_time: 0.0007005936931818724
Total test time: 0.001786326989531517 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0012853799853473902, model_test_time: 0.0005009470041841269
Total test time: 0.0017202624585479498 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0012085316702723503, model_test_time: 0.0005117307882755995
Total test time: 0.0020484242122620344 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0011919019743800163, model_test_time: 0.0008565222378820181
Total test time: 0.0016531902365386486 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0011445751879364252, model_test_time: 0.0005086150486022234
Total test time: 0.0013648017775267363 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0008852418977767229, model_test_time: 0.00047955987975001335
Total test time: 0.0015206790994852781 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0009306920692324638, model_test_time: 0.0005899870302528143
Total test time: 0.0015856081154197454 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0010850192047655582, model_test_time: 0.0005005889106541872
Total test time: 0.0021920481231063604 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0013362390454858541, model_test_time: 0.0008558090776205063
Total test time: 0.0014031180180609226 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0009156889282166958, model_test_time: 0.00048742908984422684
Total test time: 0.0016138807404786348 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0008835946209728718, model_test_time: 0.000730286119505763
Total test time: 0.001402444439008832 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0009019023273140192, model_test_time: 0.0005005421116948128
Total test time: 0.002092266920953989 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0012328419834375381, model_test_time: 0.0008594249375164509
Total test time: 0.0016736409161239862 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0011670938692986965, model_test_time: 0.0005065470468252897
Total test time: 0.0019934510346502066 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0013274329248815775, model_test_time: 0.0006660181097686291
Total test time: 0.0016871048137545586 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0009534847922623158, model_test_time: 0.0007336200214922428
Total test time: 0.004611841170117259 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0038312480319291353, model_test_time: 0.0007805931381881237
Total test time: 0.00188990100286901 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0012050929944962263, model_test_time: 0.0006848080083727837
Total test time: 0.0017078761011362076 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0012074848636984825, model_test_time: 0.0005003912374377251
Total test time: 0.0019686869345605373 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.001170407049357891, model_test_time: 0.0007982798852026463
***2_th repeat
Total test time: 0.002415220020338893 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0013914788141846657, model_test_time: 0.0010237412061542273
Total test time: 0.005263329017907381 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.004535769112408161, model_test_time: 0.0007275599054992199
Total test time: 0.0021751250606030226 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0016534808091819286, model_test_time: 0.0005216442514210939
Total test time: 0.0013206920120865107 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0008657427970319986, model_test_time: 0.000454949215054512
Total test time: 0.003269377863034606 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0013406840153038502, model_test_time: 0.0019286938477307558
Total test time: 0.0015627788379788399 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0011330158449709415, model_test_time: 0.00042976299300789833
Total test time: 0.0015714624896645546 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0010652781929820776, model_test_time: 0.000506184296682477
Total test time: 0.001336884219199419 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.000922642182558775, model_test_time: 0.0004142420366406441
Total test time: 0.0017667582724243402 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0010801421012729406, model_test_time: 0.0006866161711513996
Total test time: 0.0029960854444652796 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 0.0024352220352739096, model_test_time: 0.00056086340919137
