Namespace(dataset='AECHO1_2020', feat='iat_size', gs='False', header='False', model='OCSVM(rbf)', time='2021-04-01 08:50:16')
***AECHO1_2020, OCSVM(rbf), iat_size, speedup/data/models/src_dst/iat_size-header_False/AECHO1_2020/before_proj_False-gs_False/OCSVM(rbf)-std_False_center_False-d_5-None
***0_th repeat
Total test time: 0.47315678535960615 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.7963264882564545e-06, model_test_time: 0.4731499890331179
Total test time: 0.4823498681653291 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.185153663158417e-06, model_test_time: 0.48234268301166594
Total test time: 0.49978050449863076 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 8.777249604463577e-06, model_test_time: 0.4997717272490263
Total test time: 0.45263474783860147 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0333722457289696e-05, model_test_time: 0.4526244141161442
Total test time: 0.4417772062588483 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.2410330176353455e-06, model_test_time: 0.4417699652258307
Total test time: 0.44312352570705116 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 8.759787306189537e-06, model_test_time: 0.44311476591974497
Total test time: 0.5020110080949962 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 8.037080988287926e-06, model_test_time: 0.5020029710140079
Total test time: 0.5023757966700941 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.5374264270067215e-06, model_test_time: 0.5023682592436671
Total test time: 0.46908661583438516 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.796799764037132e-06, model_test_time: 0.4690788190346211
Total test time: 0.4404333720449358 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.03614205121994e-06, model_test_time: 0.4404263359028846
Total test time: 0.5038232600782067 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.0731621235609055e-06, model_test_time: 0.5038161869160831
Total test time: 0.46957112406380475 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.573996067047119e-06, model_test_time: 0.4695615500677377
Total test time: 0.5028076951857656 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.814029231667519e-06, model_test_time: 0.502799881156534
Total test time: 0.4751299489289522 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.757917046546936e-06, model_test_time: 0.47512219101190567
Total test time: 0.50530736008659 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.556045264005661e-06, model_test_time: 0.505300804041326
Total test time: 0.47527679917402565 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.999129593372345e-06, model_test_time: 0.4752688000444323
Total test time: 0.47318807314150035 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.870141416788101e-06, model_test_time: 0.47318020300008357
Total test time: 0.45836167014203966 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.554888725280762e-06, model_test_time: 0.4583541152533144
***3_th repeat
Total test time: 0.5087597938254476 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.870855137705803e-06, model_test_time: 0.5087499229703099
Total test time: 0.5012105770874768 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.258960977196693e-06, model_test_time: 0.5012033181264997
Total test time: 0.4595635866280645 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0279007256031036e-05, model_test_time: 0.4595533076208085
Total test time: 0.5175731312483549 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.79611650109291e-06, model_test_time: 0.5175633351318538
Total test time: 0.48025254998356104 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.072929292917252e-06, model_test_time: 0.4802454770542681
Total test time: 0.5320025479886681 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.278053089976311e-06, model_test_time: 0.5319952699355781
Total test time: 0.5082963455934078 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0220799595117569e-05, model_test_time: 0.5082861247938126
Total test time: 0.4180575043428689 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.51811671257019e-06, model_test_time: 0.41804798622615635
Total test time: 0.4449714748188853 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.499009370803833e-06, model_test_time: 0.4449639758095145
Total test time: 0.5321283079683781 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.333001121878624e-06, model_test_time: 0.5321209749672562
Total test time: 0.54023038293235 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.72207635641098e-06, model_test_time: 0.5402206608559936
Total test time: 0.4464838851708919 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.3141418397426605e-06, model_test_time: 0.44647657102905214
Total test time: 0.5352618421893567 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.499009370803833e-06, model_test_time: 0.5352543431799859
Total test time: 0.5096992282196879 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.371185347437859e-06, model_test_time: 0.5096918570343405
Total test time: 0.49619601015001535 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0017771273851395e-05, model_test_time: 0.4961859923787415
Total test time: 0.5106896299403161 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.758848369121552e-06, model_test_time: 0.510681871091947
Total test time: 0.476164422230795 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.0373062044382095e-06, model_test_time: 0.4761573849245906
Total test time: 0.46201638923957944 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.369089871644974e-06, model_test_time: 0.4620090201497078
Total test time: 0.5450597880408168 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.00000761449337e-05, model_test_time: 0.5450497879646719
Total test time: 0.5305994497612119 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0111834853887558e-05, model_test_time: 0.530589337926358
***4_th repeat
Total test time: 0.4437327394261956 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.092254236340523e-06, model_test_time: 0.4437256471719593
Total test time: 0.5005108150653541 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.259193807840347e-06, model_test_time: 0.5005035558715463
Total test time: 0.49995027552358806 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.666647434234619e-06, model_test_time: 0.4999426088761538
Total test time: 0.5022173866163939 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.129739969968796e-06, model_test_time: 0.502210256876424
Total test time: 0.4753125421702862 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.740237146615982e-06, model_test_time: 0.47530280193313956
Total test time: 0.4714119569398463 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.68597237765789e-06, model_test_time: 0.4714042709674686
Total test time: 0.44356337818317115 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.38934613764286e-06, model_test_time: 0.4435559888370335
Total test time: 0.5017932699993253 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.5178686529397964e-06, model_test_time: 0.5017857521306723
Total test time: 0.4732327638193965 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 6.795860826969147e-06, model_test_time: 0.4732259679585695
Total test time: 0.47592630912549794 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.851049304008484e-06, model_test_time: 0.47591845807619393
Total test time: 0.4767173093277961 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.167225703597069e-06, model_test_time: 0.4767101421020925
Total test time: 0.4660130590200424 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 1.0165851563215256e-05, model_test_time: 0.4660028931684792
Total test time: 0.5052521689794958 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.2410330176353455e-06, model_test_time: 0.5052449279464781
Total test time: 0.4577828999608755 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 8.131144568324089e-06, model_test_time: 0.4577747688163072
Total test time: 0.48519674804992974 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 9.056180715560913e-06, model_test_time: 0.4851876918692142
Total test time: 0.4407700668089092 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.16792419552803e-06, model_test_time: 0.44076289888471365
Total test time: 0.5033502937294543 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.777940481901169e-06, model_test_time: 0.5033425157889724
Total test time: 0.5345173110254109 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.536029443144798e-06, model_test_time: 0.5345097749959677
Total test time: 0.4455796692054719 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.388181984424591e-06, model_test_time: 0.44557228102348745
Total test time: 0.44035648670978844 <= std_test_time: 0, seek_test_time: 0, proj_test_time: 7.351860404014587e-06, model_test_time: 0.4403491348493844
speedup/out/models_res/src_dst/iat_size-header_False/AECHO1_2020/before_proj_False-gs_False/OCSVM(rbf)-std_False_center_False-d_5-None/AECHO1_2020-OCSVM(rbf).dat
